dispositivo_id,usuario_id,tipo_dispositivo,sistema_operativo,version_app,fecha_registro_dispositivo
D00109,U00067,Móvil,Android,6.8,2025-05-15
D00110,U00067,Tablet,iPadOS,6.9,2025-11-19
D00111,U00068,Móvil,iOS,7.0,2025-08-10
D00112,U00069,Computador,macOS,6.9,2023-08-06
D00113,U00069,Tablet,Android,7.2,2024-02-21
D00114,U00070,Tablet,Android,7.1,2025-11-29
D00115,U00071,Móvil,Android,7.1,2025-11-07
D00116,U00072,Smart TV,webOS,7.2,2025-02-11
D00117,U00072,Computador,Windows,7.2,2025-03-14
D00118,U00072,Móvil,iOS,7.0,2025-11-09
D00119,U00073,Smart TV,Tizen,7.2,2025-07-10
D00120,U00074,Smart TV,Android TV,7.1,2025-10-01
D00121,U00075,Computador,Windows,7.1,2025-05-01
D00122,U00075,Smart TV,webOS,7.0,2024-06-14
D00123,U00076,Tablet,Android,7.1,2025-10-03
D00124,U00077,Móvil,iOS,7.2,2024-10-15
D00125,U00077,Smart TV,Roku OS,7.2,2025-08-07
D00126,U00077,Computador,Windows,6.8,2025-06-13
D00127,U00078,Smart TV,Roku OS,7.2,2025-09-10
D00128,U00079,Smart TV,Android TV,7.1,2024-01-28
D00129,U00079,Computador,macOS,7.0,2024-01-03
D00130,U00079,Móvil,iOS,7.1,2024-10-16
D00131,U00080,Móvil,Android,7.2,2024-04-10
D00132,U00081,Computador,Linux,7.0,2024-03-24
D00133,U00081,Smart TV,Roku OS,7.1,2024-05-24
D00134,U00082,Móvil,Android,7.0,2025-04-26
D00135,U00083,Móvil,iOS,7.0,2025-10-31
D00136,U00084,Computador,Linux,7.1,2025-10-08
D00137,U00085,Móvil,Android,7.2,2025-11-20
D00138,U00085,Smart TV,Roku OS,6.8,2025-10-16
D00139,U00086,Computador,Linux,7.2,2025-04-12
D00140,U00086,Móvil,Android,7.1,2025-06-22
D00141,U00087,Computador,Linux,7.0,2025-10-14
D00142,U00087,Tablet,iPadOS,7.2,2025-09-20
D00143,U00088,Móvil,iOS,7.0,2025-11-03
D00144,U00088,Smart TV,Tizen,6.9,2025-02-27
D00145,U00089,Computador,Linux,6.8,2025-08-24
D00146,U00090,Smart TV,Android TV,7.2,2024-11-13
D00147,U00091,Móvil,Android,7.2,2024-09-24
D00148,U00091,Smart TV,webOS,6.8,2025-05-30
D00149,U00091,Computador,Linux,7.0,2024-11-30
D00150,U00092,Móvil,iOS,7.0,2023-11-29
D00151,U00092,Consola,PlayStation,7.0,2025-05-08
D00152,U00093,Smart TV,webOS,7.1,2024-08-09
D00153,U00094,Móvil,Android,6.8,2025-11-22
D00154,U00095,Smart TV,Roku OS,7.1,2025-01-24
D00155,U00095,Computador,Linux,6.9,2024-10-31
D00156,U00096,Computador,Windows,7.2,2025-11-28
D00157,U00096,Smart TV,Android TV,7.1,2025-07-05
D00158,U00097,Smart TV,Roku OS,7.2,2024-03-09
D00159,U00098,Tablet,Android,7.1,2025-05-11
D00160,U00099,Móvil,iOS,7.0,2025-02-28
D00161,U00100,Móvil,Android,7.0,2025-04-02
D00162,U00100,Consola,Xbox,7.0,2025-03-07
D00163,U00101,Computador,Windows,7.1,2024-07-07
D00164,U00101,Móvil,Android,7.2,2024-11-25
D00165,U00102,Móvil,Android,6.8,2025-02-16
D00166,U00103,Smart TV,webOS,7.2,2025-04-20
D00167,U00103,Computador,Linux,6.9,2025-03-12
D00168,U00103,Móvil,Android,7.1,2025-11-04
D00169,U00104,Consola,Xbox,7.0,2024-11-29
D00170,U00104,Smart TV,webOS,7.1,2025-03-15
D00171,U00105,Computador,macOS,7.2,2025-10-25
D00172,U00105,Smart TV,Roku OS,7.0,2025-11-24
D00173,U00106,Computador,macOS,7.1,2024-09-15
D00174,U00106,Smart TV,Roku OS,6.9,2023-12-26
D00175,U00106,Móvil,Android,7.2,2025-04-16
D00176,U00107,Móvil,iOS,7.1,2025-10-17
D00177,U00108,Smart TV,Android TV,7.0,2025-05-12
D00178,U00108,Móvil,Android,6.8,2025-03-17
D00179,U00109,Móvil,Android,7.1,2023-09-13
D00180,U00110,Móvil,iOS,7.0,2024-11-06
D00181,U00111,Tablet,iPadOS,7.2,2024-10-06
D00182,U00112,Móvil,iOS,7.0,2025-01-08
D00183,U00112,Computador,macOS,7.2,2025-05-20
D00184,U00113,Computador,macOS,7.1,2024-12-07
D00185,U00114,Computador,Linux,7.1,2025-07-10
D00186,U00114,Smart TV,Tizen,6.9,2025-11-09
D00187,U00115,Computador,macOS,6.9,2025-09-21
D00188,U00115,Smart TV,webOS,6.9,2025-08-06
D00189,U00115,Tablet,iPadOS,7.1,2025-07-07
D00190,U00116,Smart TV,Tizen,7.2,2025-06-06
D00191,U00117,Móvil,iOS,7.2,2025-09-21
D00192,U00117,Smart TV,webOS,7.2,2025-11-16
D00193,U00118,Móvil,Android,7.1,2025-05-28
D00194,U00119,Smart TV,Tizen,7.1,2023-04-17
D00195,U00119,Computador,Windows,7.1,2024-11-28
D00196,U00120,Tablet,iPadOS,7.1,2025-03-28
D00197,U00120,Móvil,Android,7.2,2025-04-22
D00198,U00121,Computador,Windows,7.2,2025-10-12
D00199,U00121,Smart TV,webOS,7.0,2025-04-06
D00200,U00122,Smart TV,Roku OS,6.8,2025-09-12
D00201,U00122,Computador,macOS,7.2,2025-05-19
D00202,U00123,Computador,Windows,7.0,2025-10-03
D00203,U00123,Tablet,iPadOS,7.0,2025-04-26
D00204,U00123,Móvil,iOS,7.2,2025-11-26
D00205,U00124,Computador,Linux,6.9,2025-04-30
D00206,U00125,Smart TV,Tizen,7.2,2025-08-02
D00207,U00126,Móvil,Android,7.1,2024-12-31
D00208,U00126,Tablet,Android,7.1,2025-08-29
D00209,U00126,Consola,PlayStation,7.1,2025-02-02
D00210,U00127,Computador,macOS,7.2,2025-03-29
D00211,U00127,Móvil,iOS,7.1,2025-07-10
D00212,U00128,Computador,Windows,7.0,2025-07-25
D00213,U00129,Smart TV,Android TV,7.2,2025-02-22
D00214,U00129,Consola,PlayStation,7.2,2024-07-25
D00215,U00129,Computador,Linux,7.1,2024-10-11
D00216,U00130,Smart TV,Roku OS,7.1,2025-10-21
D00217,U00130,Consola,PlayStation,7.1,2025-10-02
D00218,U00131,Tablet,iPadOS,6.8,2025-04-11
D00219,U00132,Computador,Windows,6.8,2025-01-14
D00220,U00133,Móvil,iOS,7.0,2025-01-10
D00221,U00133,Smart TV,Tizen,7.2,2025-10-19
D00222,U00134,Smart TV,Roku OS,7.2,2025-10-08
D00223,U00134,Computador,macOS,7.2,2023-09-01
D00224,U00134,Móvil,iOS,7.2,2023-11-07
D00225,U00135,Móvil,iOS,6.9,2024-06-22
D00226,U00135,Computador,macOS,7.1,2025-10-15
D00227,U00135,Tablet,Android,7.2,2025-05-14
D00228,U00136,Computador,Windows,7.0,2025-06-01
D00229,U00137,Móvil,Android,6.8,2025-06-25
D00230,U00137,Smart TV,webOS,7.1,2023-09-09
D00231,U00138,Computador,macOS,7.2,2024-08-28
D00232,U00138,Móvil,Android,7.1,2024-06-01
D00233,U00139,Smart TV,Tizen,7.0,2025-10-19
D00234,U00140,Móvil,Android,7.1,2025-11-06
D00235,U00141,Móvil,Android,7.1,2024-10-06
D00236,U00142,Computador,Linux,7.1,2025-08-12
D00237,U00143,Smart TV,Roku OS,7.2,2024-07-17
D00238,U00143,Tablet,iPadOS,7.2,2024-10-13
D00239,U00144,Smart TV,Android TV,7.2,2025-08-01
D00240,U00145,Computador,Windows,7.1,2025-09-18
D00241,U00146,Móvil,Android,7.1,2025-06-13
D00242,U00146,Computador,macOS,7.2,2025-03-16
D00243,U00147,Smart TV,webOS,7.1,2023-11-30
D00244,U00147,Computador,Windows,7.1,2024-10-18
D00245,U00147,Móvil,iOS,7.0,2024-09-08
D00246,U00148,Smart TV,webOS,7.2,2023-10-01
D00247,U00148,Móvil,Android,6.8,2025-02-15
D00248,U00149,Móvil,iOS,7.1,2025-07-27
D00249,U00149,Computador,Windows,6.9,2024-08-14
D00250,U00149,Tablet,iPadOS,7.2,2023-08-28
D00251,U00150,Smart TV,webOS,7.0,2025-02-20
D00252,U00150,Móvil,iOS,7.2,2025-03-10
D00253,U00150,Tablet,Android,6.9,2025-02-23
D00254,U00151,Móvil,iOS,7.1,2025-11-18
D00255,U00151,Smart TV,webOS,7.1,2025-11-24
D00256,U00151,Computador,Windows,7.1,2025-11-26
D00257,U00152,Computador,Windows,6.9,2025-02-22
D00258,U00153,Computador,macOS,7.1,2023-05-13
D00259,U00154,Smart TV,webOS,7.0,2025-07-29
D00260,U00154,Computador,Windows,7.0,2025-04-04
D00261,U00155,Tablet,Android,7.2,2025-11-28
D00262,U00155,Computador,Linux,7.2,2025-01-27
D00263,U00156,Computador,Linux,7.2,2025-09-27
D00264,U00156,Móvil,Android,7.2,2024-11-04
D00265,U00157,Smart TV,Android TV,7.1,2024-09-19
D00266,U00158,Móvil,Android,7.2,2025-06-05
D00267,U00159,Tablet,iPadOS,7.2,2025-06-10
D00268,U00159,Smart TV,Android TV,6.8,2025-08-14
D00269,U00160,Smart TV,Roku OS,7.2,2025-11-02
D00270,U00161,Smart TV,Tizen,7.0,2024-02-18
D00271,U00161,Móvil,iOS,7.2,2023-05-21
D00272,U00162,Smart TV,webOS,7.1,2025-10-13
D00273,U00162,Móvil,Android,7.2,2025-10-14
D00274,U00163,Computador,Windows,7.1,2025-11-23
D00275,U00164,Smart TV,Android TV,6.8,2024-04-04
D00276,U00165,Computador,Linux,7.2,2023-02-03
D00277,U00166,Móvil,iOS,7.1,2025-06-07
D00278,U00166,Tablet,Android,7.2,2025-07-30
D00279,U00167,Móvil,Android,6.9,2024-11-26
D00280,U00168,Móvil,Android,7.2,2025-02-09
D00281,U00168,Computador,Linux,6.9,2025-09-21
D00282,U00169,Tablet,Android,7.2,2025-07-19
D00283,U00169,Móvil,Android,6.8,2025-03-27
D00284,U00170,Móvil,Android,7.1,2024-12-06
D00285,U00170,Smart TV,Tizen,7.1,2024-10-12
D00286,U00171,Computador,macOS,7.2,2024-08-23
D00287,U00171,Smart TV,Roku OS,7.1,2025-06-29
D00288,U00172,Smart TV,Roku OS,7.1,2025-09-07
D00289,U00173,Computador,Windows,7.2,2024-02-15
D00290,U00173,Tablet,Android,7.0,2023-06-17
D00291,U00173,Smart TV,Android TV,7.2,2025-10-18
D00292,U00174,Computador,Linux,6.9,2024-03-22
D00293,U00175,Móvil,iOS,7.2,2025-07-26
D00294,U00175,Tablet,iPadOS,7.0,2025-09-20
D00295,U00176,Móvil,iOS,7.1,2025-01-02
D00296,U00177,Computador,Linux,6.8,2025-10-23
D00297,U00178,Móvil,iOS,7.2,2025-10-09
D00298,U00179,Tablet,Android,7.0,2025-06-29
D00299,U00180,Smart TV,Android TV,7.2,2025-09-30
D00300,U00181,Tablet,Android,7.0,2025-04-17
D00301,U00181,Móvil,Android,7.2,2025-11-29
D00302,U00182,Tablet,Android,7.1,2025-01-25
D00303,U00183,Smart TV,Tizen,6.9,2025-09-19
D00304,U00183,Computador,Windows,7.2,2025-02-03
D00305,U00184,Computador,Windows,7.2,2025-02-28
D00306,U00185,Smart TV,Roku OS,6.9,2025-09-13
D00307,U00186,Móvil,Android,7.2,2024-11-04
D00308,U00187,Móvil,Android,7.2,2025-10-28
D00309,U00188,Computador,Windows,7.1,2025-01-23
D00310,U00188,Móvil,iOS,7.2,2024-09-16
D00311,U00188,Tablet,Android,7.0,2025-09-29
D00312,U00189,Móvil,iOS,7.2,2025-10-06
D00313,U00189,Smart TV,Android TV,7.1,2025-07-30
D00314,U00190,Consola,Xbox,6.9,2025-08-04
D00315,U00190,Móvil,iOS,7.2,2025-07-24
D00316,U00191,Móvil,iOS,7.2,2025-09-11
D00317,U00191,Computador,macOS,6.8,2025-11-11
D00318,U00191,Smart TV,Android TV,7.1,2025-11-18
D00319,U00192,Consola,Xbox,7.0,2025-11-13
D00320,U00192,Smart TV,webOS,7.2,2025-11-21
D00321,U00193,Tablet,Android,7.2,2024-12-11
D00322,U00194,Móvil,Android,7.0,2025-10-27
D00323,U00195,Móvil,Android,7.0,2025-03-07
D00324,U00196,Smart TV,Tizen,6.9,2025-03-10
D00325,U00196,Móvil,iOS,7.1,2025-02-17
D00326,U00197,Smart TV,webOS,7.1,2025-05-28
D00327,U00197,Computador,macOS,7.0,2025-03-11
D00328,U00198,Tablet,iPadOS,7.1,2025-11-25
D00329,U00198,Móvil,iOS,7.2,2024-12-22
D00330,U00199,Smart TV,Android TV,7.1,2025-04-17
D00331,U00199,Móvil,iOS,7.1,2025-03-25
D00332,U00200,Smart TV,webOS,7.1,2025-10-16
D00333,U00201,Computador,Windows,7.2,2025-10-26
D00334,U00202,Tablet,iPadOS,7.2,2025-11-01
D00335,U00202,Computador,Windows,6.8,2024-12-30
D00336,U00203,Tablet,iPadOS,7.2,2025-04-28
D00337,U00204,Móvil,Android,6.9,2024-12-28
D00338,U00204,Smart TV,Android TV,6.9,2025-05-29
D00339,U00205,Móvil,Android,7.1,2025-01-27
D00340,U00205,Smart TV,Roku OS,7.2,2024-04-07
D00341,U00206,Computador,macOS,7.1,2023-05-23
D00342,U00206,Smart TV,Android TV,6.9,2025-10-29
D00343,U00207,Computador,Linux,7.0,2025-09-13
D00344,U00207,Móvil,iOS,7.2,2025-09-08
D00345,U00208,Smart TV,webOS,7.2,2025-02-21
D00346,U00208,Computador,Windows,7.1,2025-07-14
D00347,U00209,Smart TV,Android TV,7.2,2024-08-23
D00348,U00210,Tablet,iPadOS,7.1,2023-10-16
D00349,U00210,Smart TV,Android TV,7.2,2024-05-12
D00350,U00211,Smart TV,Android TV,7.1,2025-10-02
D00351,U00212,Smart TV,Android TV,7.1,2025-03-16
D00352,U00212,Móvil,Android,6.8,2025-03-29
D00353,U00213,Smart TV,Tizen,7.1,2023-03-28
D00354,U00213,Móvil,Android,7.1,2025-07-31
D00355,U00214,Móvil,Android,7.2,2025-01-15
D00356,U00214,Computador,Windows,7.2,2024-06-21
D00357,U00214,Smart TV,Android TV,7.1,2024-09-05
D00358,U00215,Móvil,Android,7.2,2024-12-05
D00359,U00215,Computador,Windows,7.0,2025-10-11
D00360,U00216,Smart TV,Android TV,7.2,2025-10-01
D00361,U00217,Móvil,Android,7.1,2024-04-19
D00362,U00218,Computador,macOS,7.1,2025-10-11
D00363,U00219,Móvil,iOS,6.8,2025-06-25
D00364,U00220,Computador,Windows,7.0,2025-11-13
D00365,U00221,Smart TV,Android TV,7.1,2025-04-22
D00366,U00222,Computador,Windows,7.0,2025-08-27
D00367,U00222,Móvil,iOS,7.2,2025-08-22
D00368,U00222,Computador,Linux,7.0,2023-10-31
D00369,U00223,Computador,macOS,6.9,2025-10-23
D00370,U00224,Móvil,Android,7.2,2025-11-29
D00371,U00225,Smart TV,Android TV,7.1,2024-05-22
D00372,U00226,Computador,Windows,6.8,2025-03-03
D00373,U00226,Móvil,iOS,6.8,2024-10-20
D00374,U00227,Computador,macOS,6.8,2024-08-24
D00375,U00228,Smart TV,Roku OS,7.2,2025-01-07
D00376,U00228,Tablet,Android,7.1,2025-09-28
D00377,U00229,Móvil,Android,7.1,2024-02-01
D00378,U00229,Smart TV,Android TV,7.1,2025-06-15
D00379,U00230,Computador,Linux,7.2,2024-06-13
D00380,U00231,Móvil,iOS,7.1,2024-09-30
D00381,U00232,Computador,Windows,7.2,2025-10-03
D00382,U00232,Smart TV,Android TV,6.8,2024-05-27
D00383,U00233,Smart TV,Tizen,7.2,2025-05-25
D00384,U00234,Smart TV,Roku OS,7.1,2024-11-01
D00385,U00234,Computador,Windows,6.8,2024-03-28
D00386,U00235,Computador,macOS,7.2,2025-05-27
D00387,U00236,Móvil,Android,6.8,2025-10-21
D00388,U00237,Móvil,iOS,7.2,2023-12-06
D00389,U00237,Tablet,Android,7.2,2024-02-09
D00390,U00237,Smart TV,Android TV,7.2,2024-10-02
D00391,U00238,Smart TV,Roku OS,7.1,2025-09-02
D00392,U00238,Computador,Windows,7.1,2025-09-11
D00393,U00238,Tablet,iPadOS,7.2,2025-08-25
D00394,U00239,Smart TV,Android TV,7.1,2024-08-10
D00395,U00239,Computador,macOS,7.2,2024-10-23
D00396,U00240,Smart TV,Roku OS,7.2,2025-01-09
D00397,U00240,Tablet,Android,7.0,2024-09-14
D00398,U00240,Computador,Linux,7.2,2024-09-12
D00399,U00241,Móvil,iOS,7.1,2025-11-21
D00400,U00241,Smart TV,Roku OS,7.2,2025-11-26
D00401,U00241,Computador,macOS,7.2,2025-11-10
D00402,U00242,Smart TV,webOS,7.2,2025-02-23
D00403,U00242,Computador,Windows,7.0,2025-04-25
D00404,U00242,Móvil,iOS,6.9,2025-03-24
D00405,U00243,Tablet,iPadOS,7.1,2025-10-19
D00406,U00243,Móvil,iOS,7.1,2024-12-09
D00407,U00244,Computador,Linux,7.0,2025-08-20
D00408,U00244,Smart TV,Android TV,6.8,2025-11-04
D00409,U00245,Smart TV,Android TV,7.2,2024-12-20
D00410,U00245,Móvil,Android,7.1,2024-04-18
D00411,U00246,Computador,macOS,7.0,2025-08-01
D00412,U00246,Smart TV,Roku OS,6.9,2025-10-03
D00413,U00247,Computador,macOS,7.1,2025-10-22
D00414,U00248,Móvil,iOS,7.1,2025-05-21
D00415,U00248,Tablet,Android,6.9,2025-08-21
D00416,U00248,Computador,Windows,7.2,2025-07-19
D00417,U00249,Smart TV,Tizen,6.8,2025-10-03
D00418,U00249,Computador,Windows,7.0,2025-10-14
D00419,U00250,Tablet,Android,7.1,2025-07-06
D00420,U00250,Móvil,Android,7.1,2025-11-22
D00421,U00251,Smart TV,webOS,7.1,2025-06-26
D00422,U00252,Consola,Xbox,7.2,2024-07-04
D00423,U00252,Tablet,Android,7.1,2025-06-21
D00424,U00253,Móvil,Android,6.9,2025-08-25
D00425,U00254,Móvil,Android,7.0,2025-11-13
D00426,U00255,Móvil,iOS,6.8,2024-02-16
D00427,U00255,Smart TV,Tizen,7.1,2024-11-15
D00428,U00256,Móvil,Android,7.2,2025-02-19
D00429,U00256,Tablet,iPadOS,7.0,2024-10-18
D00430,U00257,Móvil,iOS,7.2,2025-11-24
D00431,U00257,Smart TV,Android TV,7.1,2025-11-08
D00432,U00258,Computador,Linux,7.0,2024-05-12
D00433,U00258,Móvil,Android,7.2,2024-07-01
D00434,U00259,Móvil,Android,6.9,2025-01-19
D00435,U00259,Smart TV,Roku OS,7.0,2025-01-07
D00436,U00259,Tablet,iPadOS,7.2,2025-04-12
D00437,U00260,Computador,Linux,7.2,2025-10-14
D00438,U00261,Móvil,iOS,7.2,2024-11-15
D00439,U00262,Smart TV,Android TV,6.9,2025-09-18
D00440,U00263,Tablet,iPadOS,7.1,2024-10-12
D00441,U00263,Computador,Linux,7.2,2024-12-27
D00442,U00263,Móvil,Android,7.1,2024-12-09
D00443,U00264,Móvil,iOS,6.8,2025-06-05
D00444,U00264,Smart TV,webOS,7.1,2025-04-19
D00445,U00265,Consola,PlayStation,7.2,2025-06-18
D00446,U00265,Móvil,Android,7.2,2024-03-20
D00447,U00266,Móvil,iOS,6.9,2024-03-19
D00448,U00267,Tablet,Android,7.2,2025-09-07
D00449,U00268,Smart TV,Tizen,7.2,2024-10-29
D00450,U00269,Computador,macOS,7.0,2025-08-16
D00451,U00270,Computador,macOS,7.1,2025-10-18
D00452,U00270,Móvil,Android,7.1,2025-10-22
D00453,U00271,Tablet,iPadOS,7.1,2025-09-25
D00454,U00271,Smart TV,Roku OS,7.0,2025-09-07
D00455,U00272,Tablet,Android,6.8,2025-03-16
D00456,U00273,Smart TV,Android TV,7.2,2025-07-29
D00457,U00273,Computador,Linux,6.9,2025-01-01
D00458,U00274,Tablet,Android,7.0,2025-11-16
D00459,U00274,Móvil,Android,7.0,2025-07-19
D00460,U00275,Tablet,iPadOS,7.2,2025-03-16
D00461,U00276,Computador,Linux,7.1,2025-05-27
D00462,U00276,Móvil,Android,7.1,2025-05-01
D00463,U00277,Computador,Windows,7.1,2025-11-03
D00464,U00277,Móvil,Android,7.1,2025-11-01
D00465,U00277,Tablet,iPadOS,7.0,2025-11-14
D00466,U00278,Móvil,Android,7.0,2024-07-24
D00467,U00278,Computador,Windows,7.2,2025-10-13
D00468,U00279,Computador,Linux,7.0,2025-10-26
D00469,U00279,Smart TV,Roku OS,7.2,2025-11-13
D00470,U00280,Smart TV,webOS,7.0,2024-10-30
D00471,U00281,Tablet,iPadOS,6.9,2025-04-05
D00472,U00282,Computador,macOS,7.2,2025-03-18
D00473,U00283,Smart TV,Roku OS,6.9,2025-11-12
D00474,U00284,Smart TV,webOS,7.0,2024-12-21
D00475,U00284,Móvil,iOS,7.1,2024-03-08
D00476,U00285,Móvil,Android,6.9,2024-03-15
D00477,U00285,Smart TV,Tizen,7.1,2023-07-23
D00478,U00286,Smart TV,Tizen,7.1,2025-11-14
D00479,U00287,Móvil,iOS,7.1,2025-01-20
D00480,U00287,Computador,Windows,7.2,2025-03-06
D00481,U00288,Smart TV,Android TV,7.1,2025-11-25
D00482,U00289,Smart TV,Android TV,7.2,2025-08-02
D00483,U00289,Móvil,Android,7.2,2025-11-29
D00484,U00290,Smart TV,Roku OS,7.2,2025-11-29
D00485,U00290,Móvil,Android,7.1,2024-10-15
D00486,U00290,Tablet,iPadOS,7.0,2024-09-29
D00487,U00291,Móvil,iOS,6.9,2025-11-05
D00488,U00292,Smart TV,webOS,7.2,2025-03-05
D00489,U00292,Móvil,iOS,7.1,2025-07-09
D00490,U00293,Móvil,Android,7.1,2025-10-29
D00491,U00293,Computador,Windows,7.2,2025-09-27
