interaccion_id,usuario_id,contenido_id,fecha_hora,tipo_interaccion,canal,origen_interfaz
I000074,U00617,C0327,2025-02-23 11:28:53,Agregar a mi lista,App,Recomendados
I000075,U00617,C0040,2025-01-23 13:49:59,Agregar a mi lista,App,Inicio
I000076,U00617,C0176,2025-04-16 04:24:16,No me gusta,Web,Inicio
I000077,U00617,C0237,2025-12-22 21:52:44,Compartir,App,Inicio
I000078,U00617,C0215,2025-12-20 11:58:46,Descarga,App,Recomendados
I000079,U00617,C0416,2025-07-01 10:38:15,Clic recomendación,Web,Recomendados
I000080,U00617,C0078,2025-01-05 20:03:17,Clic recomendación,App,Inicio
I000081,U00617,C0017,2025-10-10 11:23:49,Clic recomendación,App,Recomendados
I000082,U01175,C0291,2025-08-20 22:35:01,Me gusta,Web,Continuar viendo
I000083,U01175,C0165,2025-01-22 22:19:25,Agregar a mi lista,Web,Recomendados
I000084,U01175,C0050,2025-04-15 16:32:52,Agregar a mi lista,Web,Continuar viendo
I000085,U01175,C0310,2025-11-29 23:24:01,Me gusta,App,Tendencias
I000086,U01175,C0331,2025-02-18 20:54:58,Compartir,Web,Inicio
I000087,U00315,C0181,2025-12-14 21:19:17,Agregar a mi lista,App,Tendencias
I000088,U00315,C0173,2025-12-23 10:06:04,Compartir,App,Búsqueda
I000089,U00315,C0122,2025-12-14 10:35:38,Clic recomendación,App,Recomendados
I000090,U00315,C0122,2025-11-18 23:55:36,Quitar de mi lista,App,Tendencias
I000091,U00315,C0334,2025-11-27 18:12:16,Agregar a mi lista,App,Inicio
I000092,U00315,C0373,2025-11-03 23:07:35,Agregar a mi lista,App,Tendencias
I000093,U00315,C0415,2025-10-18 08:47:03,Clic recomendación,App,Inicio
I000094,U00315,C0351,2025-10-26 21:39:43,Clic recomendación,App,Inicio
I000095,U00812,C0254,2025-09-30 19:18:54,Me gusta,App,Recomendados
I000096,U00812,C0364,2025-07-22 18:28:24,Me gusta,App,Continuar viendo
I000097,U00812,C0233,2025-05-11 20:23:37,Clic recomendación,App,Recomendados
I000098,U00812,C0120,2025-10-18 19:22:07,No me gusta,Web,Inicio
I000099,U00161,C0001,2025-09-09 18:46:01,Agregar a mi lista,App,Búsqueda
I000100,U00161,C0411,2025-06-10 13:42:11,Clic recomendación,App,Inicio
I000101,U00161,C0060,2025-06-03 20:59:39,Me gusta,App,Recomendados
I000102,U00116,C0329,2025-02-06 19:39:17,Agregar a mi lista,App,Recomendados
I000103,U00116,C0023,2025-04-15 20:47:12,Clic recomendación,App,Recomendados
I000104,U00116,C0047,2025-02-16 21:08:33,Compartir,App,Inicio
I000105,U00116,C0161,2025-12-10 20:34:10,Clic recomendación,App,Recomendados
I000106,U00987,C0380,2025-12-09 19:58:58,Me gusta,App,Tendencias
I000107,U00987,C0057,2025-04-03 12:02:40,Me gusta,Web,Búsqueda
I000108,U00987,C0193,2025-09-08 08:27:08,Me gusta,App,Recomendados
I000109,U00987,C0188,2025-10-26 14:31:27,Agregar a mi lista,App,Recomendados
I000110,U00987,C0148,2025-01-30 21:09:33,Me gusta,Web,Búsqueda
I000111,U00987,C0417,2025-11-30 19:00:40,Clic recomendación,Web,Recomendados
I000112,U00882,C0052,2025-09-13 12:24:51,Clic recomendación,App,Recomendados
I000113,U01063,C0141,2025-12-06 23:18:27,Agregar a mi lista,App,Inicio
I000114,U01063,C0077,2025-07-19 15:20:58,Clic recomendación,App,Tendencias
I000115,U01063,C0120,2025-10-04 16:13:46,Quitar de mi lista,App,Recomendados
I000116,U01063,C0412,2025-12-21 11:49:26,Clic recomendación,App,Recomendados
I000117,U01063,C0409,2025-07-30 22:02:25,Clic recomendación,App,Recomendados
I000118,U00102,C0099,2025-11-01 23:37:59,Clic recomendación,App,Recomendados
I000119,U00102,C0347,2025-07-23 00:09:40,Clic recomendación,App,Recomendados
I000120,U00102,C0358,2025-07-29 02:33:45,No me gusta,App,Inicio
I000121,U00102,C0023,2025-01-23 01:04:00,Quitar de mi lista,App,Tendencias
I000122,U00102,C0031,2025-01-29 22:57:31,Me gusta,App,Recomendados
I000123,U00102,C0270,2025-09-10 11:10:53,Agregar a mi lista,App,Recomendados
I000124,U00037,C0011,2025-04-21 03:40:35,No me gusta,Web,Búsqueda
I000125,U00037,C0063,2025-04-06 00:04:35,Clic recomendación,Web,Recomendados
I000126,U00172,C0368,2025-09-29 19:09:19,Agregar a mi lista,App,Continuar viendo
I000127,U00172,C0028,2025-09-11 22:39:19,No me gusta,App,Recomendados
I000128,U00172,C0060,2025-12-20 09:16:54,Agregar a mi lista,App,Búsqueda
I000129,U00172,C0284,2025-10-07 08:39:27,Agregar a mi lista,App,Recomendados
I000130,U01433,C0408,2025-10-25 20:19:43,Clic recomendación,App,Inicio
I000131,U01433,C0062,2025-02-25 21:34:01,Agregar a mi lista,App,Recomendados
I000132,U01433,C0161,2025-07-22 20:46:34,Compartir,App,Continuar viendo
I000133,U01433,C0048,2025-11-29 15:00:58,Clic recomendación,App,Inicio
I000134,U00839,C0311,2025-01-26 14:05:45,Agregar a mi lista,App,Inicio
I000135,U00839,C0172,2025-08-21 00:02:40,Agregar a mi lista,App,Búsqueda
I000136,U01475,C0110,2025-01-01 22:43:25,Clic recomendación,App,Recomendados
I000137,U01475,C0335,2025-12-11 09:15:59,Me gusta,Web,Recomendados
I000138,U01475,C0075,2025-05-14 23:10:26,Me gusta,Web,Inicio
I000139,U01475,C0409,2025-05-14 02:05:18,Descarga,Web,Búsqueda
I000140,U00872,C0150,2025-03-26 00:00:28,No me gusta,Web,Continuar viendo
I000141,U00872,C0046,2025-01-27 22:39:09,Clic recomendación,Web,Recomendados
I000142,U00872,C0046,2025-08-05 22:31:57,Compartir,Web,Continuar viendo
I000143,U00831,C0273,2025-08-26 01:37:39,Me gusta,Web,Inicio
I000144,U00831,C0070,2025-01-07 07:25:16,Clic recomendación,Web,Inicio
I000145,U00988,C0392,2025-10-04 14:51:10,Clic recomendación,App,Recomendados
I000146,U00988,C0341,2025-02-12 22:54:33,Agregar a mi lista,App,Recomendados
I000147,U00988,C0031,2025-02-08 17:38:07,Me gusta,Web,Inicio
I000148,U01371,C0344,2025-05-16 21:21:36,Agregar a mi lista,App,Búsqueda
I000149,U01371,C0153,2025-01-14 16:57:20,Agregar a mi lista,App,Continuar viendo
I000150,U01371,C0229,2025-05-27 09:41:26,Quitar de mi lista,App,Búsqueda
I000151,U01371,C0397,2025-01-23 18:45:37,Clic recomendación,App,Recomendados
I000152,U00547,C0122,2025-10-28 23:05:52,Me gusta,App,Recomendados
I000153,U00547,C0085,2025-01-17 22:45:34,Compartir,App,Inicio
I000154,U00547,C0100,2025-07-13 19:57:36,Compartir,App,Continuar viendo
I000155,U00547,C0289,2025-10-04 05:01:04,Agregar a mi lista,App,Continuar viendo
I000156,U00547,C0281,2025-09-05 18:14:06,Agregar a mi lista,App,Continuar viendo
I000157,U00547,C0264,2025-02-12 23:18:05,Me gusta,App,Continuar viendo
I000158,U00547,C0384,2025-03-30 16:59:54,Descarga,App,Inicio
I000159,U00547,C0246,2025-05-15 01:22:55,Compartir,App,Recomendados
I000160,U00547,C0077,2025-09-28 10:43:56,Clic recomendación,App,Recomendados
I000161,U00547,C0019,2025-03-01 23:03:29,Compartir,App,Búsqueda
I000162,U00547,C0212,2025-03-01 20:27:14,Me gusta,App,Recomendados
I000163,U00547,C0405,2025-02-08 15:01:01,Clic recomendación,App,Recomendados
I000164,U01301,C0099,2025-07-02 02:12:02,Quitar de mi lista,App,Tendencias
I000165,U01301,C0300,2025-09-02 19:56:01,Clic recomendación,App,Tendencias
I000166,U01301,C0353,2025-12-26 07:42:20,Agregar a mi lista,App,Inicio
I000167,U00718,C0204,2025-04-18 05:44:32,Me gusta,App,Tendencias
I000168,U00718,C0315,2025-04-06 14:22:44,Me gusta,App,Inicio
I000169,U00718,C0268,2025-08-21 21:22:43,Agregar a mi lista,App,Búsqueda
I000170,U00718,C0389,2025-07-06 06:31:57,Agregar a mi lista,App,Inicio
I000171,U00669,C0248,2025-08-26 16:42:27,Quitar de mi lista,Web,Continuar viendo
I000172,U00669,C0019,2025-11-02 08:08:26,Agregar a mi lista,Web,Recomendados
I000173,U00669,C0109,2025-09-14 00:43:22,Compartir,Web,Tendencias
I000174,U00669,C0081,2025-09-21 09:06:42,Agregar a mi lista,Web,Búsqueda
I000175,U00669,C0378,2025-11-22 20:14:37,Me gusta,Web,Recomendados
I000176,U00669,C0086,2025-10-08 23:10:04,Clic recomendación,Web,Recomendados
I000177,U01446,C0241,2025-07-11 00:05:01,Agregar a mi lista,App,Búsqueda
I000178,U01446,C0214,2025-05-07 16:54:18,Agregar a mi lista,App,Continuar viendo
I000179,U01446,C0385,2025-06-02 00:00:24,Me gusta,App,Recomendados
I000180,U01446,C0339,2025-04-03 20:48:57,Clic recomendación,App,Inicio
I000181,U00849,C0173,2025-06-24 11:48:42,Clic recomendación,App,Recomendados
I000182,U00849,C0408,2025-09-15 22:40:29,Me gusta,App,Recomendados
I000183,U00849,C0037,2025-09-10 11:00:35,Descarga,App,Continuar viendo
I000184,U00837,C0038,2025-06-05 12:58:52,Me gusta,Web,Recomendados
I000185,U00679,C0131,2025-05-18 12:27:26,Me gusta,App,Inicio
I000186,U00679,C0040,2025-08-02 17:21:11,Agregar a mi lista,App,Tendencias
I000187,U00679,C0097,2025-01-29 10:01:21,Clic recomendación,App,Recomendados
I000188,U00679,C0307,2025-12-27 21:17:07,Agregar a mi lista,App,Tendencias
I000189,U00679,C0219,2025-09-23 18:30:29,No me gusta,App,Inicio
I000190,U01343,C0281,2025-10-27 17:30:36,Clic recomendación,App,Recomendados
I000191,U01343,C0036,2025-11-19 17:01:16,Clic recomendación,App,Recomendados
I000192,U01343,C0356,2025-12-31 22:40:17,Quitar de mi lista,App,Búsqueda
I000193,U01343,C0161,2025-12-18 22:43:40,Clic recomendación,App,Recomendados
I000194,U01343,C0121,2025-12-14 00:10:47,Me gusta,App,Búsqueda
I000195,U00775,C0237,2025-06-26 11:07:57,Clic recomendación,App,Inicio
I000196,U00775,C0126,2025-04-05 16:08:51,Descarga,App,Recomendados
I000197,U00775,C0010,2025-03-22 22:45:31,Clic recomendación,App,Inicio
I000198,U00775,C0230,2025-12-27 09:55:23,Agregar a mi lista,App,Recomendados
I000199,U00775,C0077,2025-11-01 12:42:46,Me gusta,App,Recomendados
I000200,U00775,C0116,2025-07-02 10:48:28,Clic recomendación,App,Tendencias
I000201,U00775,C0140,2025-08-09 16:57:09,Agregar a mi lista,App,Inicio
I000202,U00775,C0051,2025-11-12 15:53:52,Clic recomendación,App,Tendencias
I000203,U00775,C0328,2025-09-29 22:26:45,Agregar a mi lista,App,Inicio
I000204,U00775,C0057,2025-11-01 21:39:14,Agregar a mi lista,App,Recomendados
I000205,U00497,C0318,2025-12-17 00:17:34,Clic recomendación,Web,Recomendados
I000206,U00497,C0291,2025-12-29 13:21:15,Agregar a mi lista,Web,Inicio
I000207,U00497,C0200,2025-11-28 23:23:55,Clic recomendación,Web,Recomendados
I000208,U00497,C0151,2025-12-26 22:13:21,Clic recomendación,Web,Recomendados
I000209,U00497,C0262,2025-12-19 20:45:23,Compartir,Web,Recomendados
I000210,U00497,C0174,2025-12-08 00:18:58,Compartir,Web,Recomendados
I000211,U00698,C0052,2025-08-22 20:40:22,Clic recomendación,App,Recomendados
I000212,U00698,C0388,2025-09-01 15:18:15,Clic recomendación,App,Recomendados
I000213,U00698,C0234,2025-10-13 12:37:06,Me gusta,App,Búsqueda
I000214,U00698,C0297,2025-10-16 00:52:46,No me gusta,App,Recomendados
I000215,U00698,C0084,2025-10-10 19:36:30,Descarga,App,Tendencias
I000216,U00365,C0238,2025-05-10 01:13:47,Descarga,App,Inicio
I000217,U00365,C0281,2025-07-08 10:13:33,Me gusta,App,Recomendados
I000218,U00365,C0224,2025-07-13 20:32:06,Agregar a mi lista,App,Búsqueda
I000219,U00919,C0257,2025-09-30 14:26:50,Compartir,App,Recomendados
I000220,U00919,C0152,2025-11-08 22:52:46,Agregar a mi lista,App,Búsqueda
I000221,U00919,C0170,2025-07-26 22:16:41,Agregar a mi lista,App,Continuar viendo
I000222,U00919,C0394,2025-09-13 19:01:59,Agregar a mi lista,App,Inicio
I000223,U00919,C0092,2025-07-12 21:36:07,Me gusta,App,Tendencias
I000224,U00919,C0275,2025-07-19 23:43:27,Me gusta,App,Continuar viendo
I000225,U00238,C0356,2025-09-16 19:56:07,Clic recomendación,App,Recomendados
I000226,U00238,C0070,2025-09-03 00:37:45,Clic recomendación,Web,Recomendados
I000227,U00238,C0418,2025-10-08 09:34:37,Quitar de mi lista,Web,Inicio
I000228,U00238,C0338,2025-10-16 20:19:37,Descarga,Web,Continuar viendo
I000229,U00238,C0255,2025-09-06 20:10:18,No me gusta,Web,Recomendados
I000230,U00238,C0344,2025-08-23 19:35:35,Quitar de mi lista,App,Recomendados
I000231,U00238,C0014,2025-10-25 09:22:02,Clic recomendación,App,Inicio
I000232,U00238,C0025,2025-10-16 18:50:15,No me gusta,Web,Recomendados
I000233,U00878,C0033,2025-07-01 21:01:27,Agregar a mi lista,App,Continuar viendo
I000234,U00878,C0054,2025-04-23 11:00:56,Me gusta,App,Inicio
I000235,U00878,C0117,2025-05-30 03:16:19,Descarga,App,Recomendados
I000236,U00878,C0285,2025-07-04 05:14:55,Clic recomendación,App,Recomendados
I000237,U00878,C0358,2025-03-27 22:29:01,Me gusta,App,Búsqueda
I000238,U00878,C0332,2025-11-22 21:58:49,Me gusta,App,Tendencias
I000239,U00878,C0028,2025-10-27 19:57:09,Clic recomendación,App,Recomendados
I000240,U00878,C0275,2025-05-31 01:57:53,Compartir,App,Continuar viendo
I000241,U01448,C0289,2025-01-27 13:26:00,Clic recomendación,Web,Recomendados
I000242,U01448,C0057,2025-06-22 16:57:22,No me gusta,Web,Recomendados
I000243,U01448,C0048,2025-01-13 09:09:45,Clic recomendación,App,Recomendados
I000244,U01448,C0258,2025-04-05 00:24:27,Agregar a mi lista,App,Inicio
I000245,U00576,C0410,2025-02-10 14:43:25,Compartir,App,Inicio
I000246,U00576,C0197,2025-08-07 21:40:07,Clic recomendación,App,Recomendados
I000247,U00576,C0306,2025-10-01 19:41:54,Descarga,App,Recomendados
I000248,U00576,C0121,2025-12-27 01:37:42,Clic recomendación,App,Recomendados
I000249,U00153,C0133,2025-11-29 21:53:06,Agregar a mi lista,Web,Recomendados
I000250,U00153,C0106,2025-02-15 23:05:23,Descarga,Web,Continuar viendo
I000251,U00153,C0087,2025-11-15 10:33:32,Me gusta,Web,Búsqueda
I000252,U00400,C0335,2025-10-15 21:45:40,Me gusta,App,Continuar viendo
I000253,U01196,C0146,2025-06-15 09:27:35,Me gusta,App,Continuar viendo
I000254,U01196,C0359,2025-02-23 21:18:00,Agregar a mi lista,App,Inicio
I000255,U01196,C0281,2025-05-11 21:04:38,Me gusta,App,Búsqueda
I000256,U01196,C0200,2025-06-25 22:24:51,Me gusta,App,Inicio
I000257,U01196,C0012,2025-09-01 22:55:07,Agregar a mi lista,App,Tendencias
I000258,U00197,C0397,2025-06-24 23:36:05,Me gusta,App,Tendencias
I000259,U00197,C0179,2025-05-24 19:32:59,Me gusta,Web,Recomendados
I000260,U00197,C0125,2025-04-13 10:36:29,No me gusta,Web,Recomendados
I000261,U00197,C0079,2025-11-24 10:07:50,Clic recomendación,App,Recomendados
I000262,U00197,C0177,2025-11-28 02:30:23,Agregar a mi lista,Web,Recomendados
I000263,U00197,C0249,2025-04-27 19:58:49,Clic recomendación,App,Recomendados
I000264,U00197,C0015,2025-09-02 09:02:25,Clic recomendación,App,Recomendados
I000265,U00197,C0044,2025-07-03 03:35:20,Agregar a mi lista,Web,Continuar viendo
I000266,U00519,C0162,2025-05-16 22:46:45,Me gusta,App,Inicio
I000267,U00519,C0372,2025-07-16 17:23:58,Compartir,App,Recomendados
I000268,U00078,C0106,2025-02-27 22:55:08,Agregar a mi lista,App,Inicio
I000269,U00078,C0150,2025-08-26 12:02:08,Compartir,App,Búsqueda
I000270,U00723,C0219,2025-04-30 09:54:22,Clic recomendación,App,Inicio
I000271,U00723,C0038,2025-02-11 23:15:15,Agregar a mi lista,App,Búsqueda
I000272,U00723,C0098,2025-07-04 13:51:18,Clic recomendación,App,Inicio
I000273,U00723,C0390,2025-09-05 22:43:59,Me gusta,App,Continuar viendo
I000274,U00723,C0160,2025-10-01 23:49:17,Agregar a mi lista,App,Recomendados
I000275,U00723,C0123,2025-01-19 20:26:32,Me gusta,App,Continuar viendo
I000276,U00723,C0396,2025-10-23 08:34:27,Clic recomendación,App,Recomendados
I000277,U00723,C0378,2025-08-31 23:58:58,Me gusta,App,Inicio
I000278,U00723,C0224,2025-07-06 16:33:31,Agregar a mi lista,App,Recomendados
I000279,U00723,C0250,2025-02-10 12:16:58,Agregar a mi lista,App,Tendencias
I000280,U00723,C0013,2025-05-28 17:12:52,Me gusta,App,Búsqueda
I000281,U00723,C0324,2025-04-03 19:37:36,Quitar de mi lista,App,Continuar viendo
I000282,U00047,C0416,2025-11-25 17:44:18,Clic recomendación,App,Inicio
I000283,U00047,C0294,2025-09-23 12:18:23,Clic recomendación,Web,Recomendados
I000284,U00047,C0153,2025-09-25 22:12:05,Me gusta,App,Inicio
I000285,U00047,C0004,2025-10-10 07:12:55,Clic recomendación,App,Inicio
I000286,U00047,C0021,2025-10-27 20:51:30,Me gusta,App,Inicio
I000287,U00047,C0238,2025-10-24 20:18:13,Agregar a mi lista,App,Búsqueda
I000288,U01223,C0234,2025-05-06 01:06:29,Clic recomendación,App,Inicio
I000289,U01223,C0024,2025-07-13 01:28:48,Compartir,Web,Recomendados
I000290,U01223,C0230,2025-04-22 11:20:19,Agregar a mi lista,App,Recomendados
I000291,U00906,C0277,2025-10-13 15:31:53,Agregar a mi lista,App,Búsqueda
I000292,U00906,C0323,2025-03-05 21:43:27,Me gusta,App,Recomendados
I000293,U00906,C0065,2025-02-13 19:04:44,Agregar a mi lista,App,Búsqueda
I000294,U00906,C0107,2025-03-09 19:37:17,Me gusta,Web,Tendencias
I000295,U00906,C0188,2025-07-18 03:14:55,Me gusta,Web,Inicio
I000296,U00659,C0366,2025-03-23 20:57:05,Descarga,App,Recomendados
I000297,U00659,C0406,2025-01-10 19:13:39,Clic recomendación,App,Inicio
I000298,U00069,C0389,2025-02-02 20:50:18,Me gusta,App,Búsqueda
I000299,U00069,C0370,2025-02-01 12:41:01,Clic recomendación,App,Recomendados
I000300,U00069,C0134,2025-06-19 21:50:10,Clic recomendación,App,Recomendados
I000301,U00069,C0304,2025-02-25 14:21:04,Clic recomendación,Web,Recomendados
I000302,U00069,C0090,2025-02-12 16:57:37,Clic recomendación,App,Tendencias
I000303,U00069,C0400,2025-02-20 06:16:46,Me gusta,App,Inicio
I000304,U00015,C0114,2025-10-01 14:19:14,Agregar a mi lista,App,Búsqueda
I000305,U00015,C0011,2025-06-21 08:30:48,Clic recomendación,App,Inicio
I000306,U00015,C0307,2025-12-03 21:02:28,Compartir,App,Continuar viendo
I000307,U00015,C0168,2025-04-26 21:29:07,Compartir,App,Tendencias
I000308,U01336,C0141,2025-04-08 18:31:41,Agregar a mi lista,App,Recomendados
I000309,U01336,C0340,2025-04-29 13:43:50,No me gusta,App,Búsqueda
I000310,U01336,C0114,2025-10-13 01:35:32,No me gusta,Web,Recomendados
I000311,U01336,C0018,2025-04-25 11:05:59,Compartir,Web,Recomendados
I000312,U01336,C0303,2025-08-03 23:36:47,Descarga,Web,Recomendados
I000313,U01336,C0056,2025-03-19 15:07:16,Clic recomendación,App,Recomendados
I000314,U01336,C0398,2025-01-27 15:45:40,Agregar a mi lista,App,Búsqueda
I000315,U01336,C0104,2025-04-13 17:43:12,Me gusta,Web,Recomendados
I000316,U00633,C0137,2025-12-20 17:31:22,Agregar a mi lista,App,Recomendados
I000317,U00633,C0293,2025-08-11 21:25:43,Me gusta,App,Inicio
I000318,U00633,C0375,2025-10-22 04:57:09,Me gusta,App,Recomendados
I000319,U00633,C0191,2025-09-03 22:47:30,Me gusta,App,Tendencias
I000320,U00633,C0244,2025-10-07 20:47:55,Agregar a mi lista,App,Continuar viendo
I000321,U00633,C0164,2025-05-10 22:30:21,Agregar a mi lista,App,Continuar viendo
I000322,U00633,C0200,2025-08-25 19:29:11,Compartir,Web,Recomendados
I000323,U00633,C0108,2025-08-13 20:48:58,Clic recomendación,Web,Recomendados
I000324,U00633,C0113,2025-06-10 13:26:53,Clic recomendación,App,Tendencias
I000325,U00633,C0413,2025-10-04 01:19:38,Clic recomendación,App,Recomendados
I000326,U00561,C0013,2025-06-07 18:11:17,Clic recomendación,Web,Recomendados
I000327,U00561,C0041,2025-08-07 15:40:10,Agregar a mi lista,Web,Continuar viendo
I000328,U00561,C0129,2025-08-22 13:20:56,Agregar a mi lista,Web,Inicio
I000329,U00561,C0173,2025-09-16 19:32:36,Descarga,Web,Inicio
I000330,U00561,C0234,2025-12-25 14:44:42,Me gusta,Web,Tendencias
I000331,U00561,C0150,2025-08-28 20:46:49,Quitar de mi lista,Web,Inicio
I000332,U00561,C0027,2025-11-01 21:28:53,Clic recomendación,App,Recomendados
I000333,U00561,C0085,2025-07-31 21:50:45,Agregar a mi lista,App,Continuar viendo
I000334,U00561,C0005,2025-09-21 21:56:03,Agregar a mi lista,App,Inicio
I000335,U00561,C0268,2025-06-03 22:18:19,Me gusta,App,Recomendados
I000336,U00481,C0103,2025-12-10 10:08:28,Me gusta,App,Continuar viendo
I000337,U00481,C0160,2025-12-21 20:38:04,Clic recomendación,App,Tendencias
I000338,U00481,C0210,2025-09-09 12:46:22,Descarga,App,Recomendados
