reproduccion_id,usuario_id,contenido_id,dispositivo_id,fecha_hora_inicio,tipo_dispositivo,calidad_video,minutos_reproducidos,porcentaje_completado,abandono_temprano,buffering_segundos
R000123,U01326,C0138,D02202,2025-08-07 19:20:08,Móvil,HD,19.2,61.9,No,9.3
R000124,U00030,C0049,D00048,2025-05-11 16:03:03,Móvil,Full HD,50.0,100,No,3.7
R000125,U00525,C0402,D00869,2025-06-17 22:35:24,Tablet,HD,26.4,56.2,No,15.1
R000126,U00411,C0100,D00681,2025-11-09 20:52:07,Móvil,Full HD,54.5,52.4,No,9.6
R000127,U00730,C0211,D01194,2025-04-17 18:21:01,Smart TV,SD,53.9,57.3,No,2.1
R000128,U01100,C0312,D01827,2025-11-12 20:44:51,Smart TV,HD,110.9,89.4,No,4.1
R000129,U00410,C0160,D00680,2025-10-13 12:15:42,Smart TV,HD,38.0,100,No,6.0
R000130,U00026,C0192,D00042,2025-08-29 19:55:44,Tablet,Full HD,38.5,67.5,No,5.7
R000131,U01008,C0331,D01674,2025-04-02 22:01:09,Computador,Full HD,46.0,93.8,No,0
R000132,U01067,C0074,D01775,2025-01-05 13:47:20,Móvil,Full HD,107.4,82.6,No,15.2
R000133,U00589,C0061,D00974,2025-04-19 08:28:27,Móvil,Full HD,52.0,100,No,15.2
R000134,U01031,C0136,D01713,2025-06-30 09:53:29,Móvil,Full HD,99.2,84.8,No,5.1
R000135,U00261,C0212,D00438,2025-03-02 21:51:49,Móvil,HD,31.6,60.7,No,12.2
R000136,U00841,C0184,D01378,2025-01-13 20:31:05,Smart TV,HD,87.7,80.5,No,15.6
R000137,U01186,C0284,D01974,2025-08-17 19:06:50,Smart TV,Full HD,103.7,72.5,No,0
R000138,U00399,C0054,D00658,2025-10-06 13:16:51,Móvil,Full HD,34.3,85.8,No,10.3
R000139,U00820,C0079,D01345,2025-10-28 22:05:58,Móvil,HD,23.7,23.9,No,14.7
R000140,U01359,C0197,D02262,2025-07-08 11:02:47,Móvil,Full HD,16.8,46.7,No,16.4
R000141,U00916,C0377,D01509,2025-07-12 23:13:50,Smart TV,Full HD,61.6,59.8,No,4.3
R000142,U00540,C0386,D00898,2025-11-11 18:38:40,Tablet,HD,39.3,35.7,No,11.0
R000143,U00146,C0143,D00242,2025-03-29 15:10:40,Computador,Full HD,149.4,96.4,No,3.0
R000144,U00796,C0110,D01307,2025-12-31 15:08:04,Smart TV,4K,92.1,83.7,No,4.0
R000145,U01487,C0191,D02466,2025-12-21 20:51:59,Computador,Full HD,32.2,62.0,No,0
R000146,U01385,C0106,D02305,2025-05-04 16:18:34,Móvil,Full HD,78.0,100,No,3.9
R000147,U00170,C0003,D00285,2025-12-02 10:54:35,Smart TV,Full HD,123.0,100,No,9.6
R000148,U01446,C0131,D02402,2025-03-22 21:45:38,Tablet,Full HD,56.4,60.6,No,7.3
R000149,U01312,C0249,D02181,2025-09-18 22:31:47,Móvil,SD,25.3,49.7,No,10.4
R000150,U00514,C0181,D00851,2025-07-17 15:02:09,Smart TV,Full HD,81.7,77.1,No,1.9
R000151,U00807,C0052,D01326,2025-03-20 16:35:11,Tablet,Full HD,88.4,73.7,No,9.0
R000152,U00988,C0109,D01639,2025-03-04 17:05:09,Computador,HD,19.8,58.3,No,6.2
R000153,U00330,C0416,D00562,2025-03-27 18:08:15,Smart TV,HD,105.9,70.1,No,6.7
R000154,U00195,C0067,D00323,2025-02-08 12:30:54,Móvil,4K,101.5,75.2,No,19.5
R000155,U00526,C0185,D00874,2025-03-26 21:06:30,Móvil,4K,20.4,58.3,No,9.1
R000156,U00208,C0355,D00345,2025-01-30 22:04:09,Smart TV,Full HD,133.6,97.5,No,6.2
R000157,U00664,C0310,D01096,2025-01-06 17:40:30,Computador,4K,20.4,61.8,No,2.7
R000158,U01320,C0337,D02191,2025-07-08 22:29:12,Smart TV,4K,73.4,86.3,No,3.8
R000159,U00407,C0178,D00675,2025-10-28 19:38:40,Smart TV,4K,79.6,82.9,No,7.9
R000160,U00119,C0295,D00194,2025-04-20 21:14:17,Smart TV,Full HD,31.8,96.5,No,5.3
R000161,U00111,C0224,D00181,2025-02-21 22:14:08,Tablet,SD,55.1,62.6,No,6.3
R000162,U00505,C0415,D00838,2025-01-24 22:38:36,Computador,HD,73.6,54.9,No,0
R000163,U00513,C0419,D00850,2025-07-04 16:39:18,Smart TV,Full HD,36.0,100,No,9.4
R000164,U00412,C0083,D00683,2025-08-09 21:57:10,Tablet,HD,121.0,100,No,5.5
R000165,U01363,C0147,D02272,2025-07-04 22:31:48,Computador,4K,56.6,57.2,No,4.3
R000166,U01355,C0220,D02256,2025-12-30 14:56:48,Smart TV,Full HD,31.0,94.0,No,0
R000167,U01267,C0161,D02106,2025-08-04 20:32:34,Móvil,4K,73.5,93.0,No,14.0
R000168,U01368,C0051,D02280,2025-12-03 22:02:52,Computador,4K,63.1,49.7,No,12.2
R000169,U01440,C0052,D02392,2025-11-15 07:19:20,Computador,4K,89.9,74.9,No,5.1
R000170,U01206,C0389,D02006,2025-12-06 10:51:31,Móvil,Full HD,86.2,65.8,No,13.3
R000171,U01222,C0005,D02036,2025-01-28 20:28:37,Computador,HD,41.5,56.8,No,4.2
R000172,U00114,C0199,D00185,2025-08-06 20:57:11,Computador,SD,49.0,59.8,No,10.7
R000173,U00500,C0076,D00831,2025-05-28 11:11:09,Tablet,Full HD,28.9,35.3,No,12.7
R000174,U00051,C0117,D00083,2025-07-25 11:51:58,Smart TV,HD,66.6,57.9,No,0
R000175,U00976,C0312,D01619,2025-12-16 20:34:50,Móvil,HD,75.0,60.5,No,24.2
R000176,U00616,C0333,D01024,2025-09-01 13:08:07,Smart TV,HD,59.4,53.5,No,1.1
R000177,U00093,C0170,D00152,2025-10-23 06:57:53,Smart TV,Full HD,65.0,100,No,0
R000178,U00628,C0410,D01043,2025-11-03 22:03:59,Móvil,HD,78.6,80.2,No,5.4
R000179,U00886,C0155,D01458,2025-05-22 19:48:35,Computador,4K,139.0,100,No,15.5
R000180,U00996,C0177,D01654,2025-05-13 15:56:00,Móvil,HD,22.4,70.1,No,11.4
R000181,U00279,C0407,D00468,2025-12-07 22:52:41,Computador,Full HD,56.4,54.2,No,0.8
R000182,U00652,C0150,D01078,2025-07-23 13:46:58,Computador,4K,19.6,57.7,No,12.0
R000183,U00749,C0260,D01225,2025-05-05 15:56:50,Smart TV,4K,44.3,98.5,No,10.4
R000184,U01204,C0262,D02004,2025-04-06 17:31:59,Móvil,HD,142.4,93.1,No,7.0
R000185,U00861,C0122,D01409,2025-03-16 19:31:59,Móvil,HD,74.3,70.8,No,5.8
R000186,U00855,C0285,D01401,2025-11-27 19:14:45,Computador,HD,42.3,78.3,No,5.6
R000187,U00490,C0359,D00814,2025-06-24 22:02:52,Computador,Full HD,152.0,100,No,4.2
R000188,U00295,C0137,D00495,2025-08-22 12:00:54,Tablet,Full HD,67.5,87.7,No,5.1
R000189,U01010,C0304,D01677,2025-07-18 23:16:31,Computador,HD,12.1,35.5,No,5.1
R000190,U01377,C0100,D02293,2025-10-11 22:18:39,Consola,Full HD,39.5,38.0,No,5.5
R000191,U00577,C0224,D00957,2025-04-05 22:16:38,Computador,4K,70.8,80.4,No,21.0
R000192,U01064,C0368,D01770,2025-04-11 10:01:36,Tablet,Full HD,46.5,89.5,No,3.2
R000193,U00884,C0351,D01453,2025-01-27 23:16:32,Computador,Full HD,71.6,70.2,No,2.2
R000194,U01031,C0410,D01713,2025-05-14 20:30:55,Móvil,HD,69.1,70.5,No,11.3
R000195,U00949,C0207,D01570,2025-12-29 07:29:17,Computador,SD,36.4,68.7,No,4.1
R000196,U00889,C0140,D01463,2025-01-13 21:47:40,Smart TV,Full HD,70.6,70.6,No,6.6
R000197,U01461,C0296,D02426,2025-08-20 23:24:55,Smart TV,4K,59.5,53.6,No,2.2
R000198,U00674,C0343,D01111,2025-10-07 11:18:10,Móvil,HD,17.4,45.8,No,11.8
R000199,U00905,C0004,D01489,2025-04-01 00:48:32,Móvil,HD,43.7,44.6,No,9.9
R000200,U00546,C0028,D00908,2025-10-03 09:21:49,Móvil,HD,111.3,75.7,No,3.5
R000201,U00061,C0228,D00099,2025-11-14 15:45:47,Computador,4K,32.4,57.8,No,6.7
R000202,U00889,C0053,D01463,2025-01-18 22:36:28,Smart TV,Full HD,112.2,87.0,No,3.5
R000203,U00403,C0017,D00667,2025-03-28 12:17:13,Computador,Full HD,80.8,60.3,No,9.8
R000204,U00342,C0392,D00578,2025-11-06 19:22:32,Smart TV,4K,37.0,100,No,4.7
R000205,U01165,C0244,D01939,2025-03-20 18:12:48,Smart TV,HD,44.2,90.3,No,6.8
R000206,U01323,C0204,D02197,2025-12-07 23:23:42,Tablet,Full HD,27.4,83.1,No,4.9
R000207,U00557,C0318,D00929,2025-11-17 21:20:54,Smart TV,Full HD,36.1,62.2,No,3.7
R000208,U00121,C0359,D00198,2025-08-30 08:55:10,Computador,SD,79.8,52.5,No,8.1
R000209,U00021,C0188,D00033,2025-11-18 16:51:54,Móvil,HD,17.0,51.5,No,5.0
R000210,U01296,C0226,D02156,2025-11-13 20:26:11,Móvil,HD,26.3,29.2,No,4.7
R000211,U00205,C0304,D00339,2025-07-18 22:32:21,Móvil,HD,26.0,76.5,No,4.7
R000212,U00083,C0335,D00135,2025-09-19 19:43:50,Móvil,HD,88.5,58.2,No,7.8
R000213,U01142,C0348,D01900,2025-09-22 20:44:44,Móvil,HD,69.5,82.7,No,12.2
R000214,U00489,C0391,D00812,2025-07-31 19:49:40,Computador,Full HD,26.8,63.7,No,5.0
R000215,U00785,C0046,D01290,2025-12-17 16:08:22,Smart TV,Full HD,88.7,98.5,No,9.0
R000216,U01420,C0363,D02361,2025-10-11 00:05:10,Tablet,Full HD,23.5,54.7,No,13.8
R000217,U01465,C0080,D02433,2025-12-24 20:26:40,Tablet,SD,109.0,100,No,33.9
R000218,U01041,C0412,D01729,2025-06-06 22:36:51,Móvil,Full HD,28.2,93.9,No,17.4
R000219,U01461,C0275,D02425,2025-09-15 15:58:47,Móvil,Full HD,115.0,85.2,No,10.4
R000220,U00736,C0389,D01205,2025-08-12 18:10:07,Móvil,HD,56.2,42.9,No,28.4
R000221,U01172,C0265,D01949,2025-07-21 21:44:03,Móvil,HD,39.7,70.9,No,3.6
R000222,U00420,C0347,D00697,2025-07-11 19:15:42,Smart TV,Full HD,35.5,79.0,No,10.0
R000223,U00542,C0249,D00900,2025-12-03 20:08:58,Computador,Full HD,45.1,88.4,No,3.0
R000224,U00986,C0378,D01635,2025-11-23 09:37:41,Móvil,Full HD,83.7,69.2,No,13.7
R000225,U00497,C0262,D00827,2025-12-19 18:59:23,Computador,Full HD,134.8,88.1,No,6.4
R000226,U01032,C0212,D01715,2025-09-15 18:39:36,Smart TV,Full HD,40.2,77.4,No,0.1
R000227,U00219,C0161,D00363,2025-12-10 16:53:39,Móvil,SD,69.4,87.8,No,11.2
R000228,U01221,C0186,D02034,2025-03-15 14:15:36,Smart TV,SD,91.6,79.0,No,3.6
R000229,U01213,C0299,D02022,2025-10-27 19:05:15,Móvil,SD,107.9,76.5,No,2.8
R000230,U00030,C0199,D00048,2025-04-17 21:51:36,Móvil,HD,36.2,44.2,No,12.6
R000231,U00574,C0191,D00952,2025-11-15 15:53:34,Móvil,HD,13.8,26.5,No,3.5
R000232,U00391,C0346,D00648,2025-09-07 12:53:01,Computador,HD,56.2,47.2,No,0
R000233,U01456,C0358,D02418,2025-01-20 21:34:38,Móvil,Full HD,107.6,72.7,No,8.6
R000234,U01248,C0381,D02079,2025-09-30 16:47:07,Tablet,Full HD,50.8,82.0,No,10.0
R000235,U00187,C0180,D00308,2025-10-30 13:39:56,Móvil,Full HD,43.0,50.0,No,20.0
R000236,U00138,C0014,D00232,2025-11-15 22:10:26,Móvil,SD,29.3,61.0,No,18.6
R000237,U00716,C0405,D01170,2025-05-24 20:27:27,Tablet,Full HD,17.8,53.8,No,5.6
R000238,U00126,C0287,D00209,2025-11-02 18:33:48,Consola,Full HD,71.9,84.6,No,0
R000239,U00307,C0081,D00521,2025-09-16 18:21:23,Móvil,HD,63.6,53.0,No,18.3
R000240,U01466,C0085,D02435,2025-11-03 22:32:01,Smart TV,Full HD,77.4,60.0,No,9.3
R000241,U01273,C0049,D02118,2025-10-18 22:48:34,Tablet,4K,32.6,65.3,No,19.9
R000242,U00235,C0231,D00386,2025-10-15 08:07:18,Computador,HD,26.4,91.1,No,1.4
R000243,U01253,C0214,D02086,2025-01-19 22:08:20,Computador,Full HD,16.7,49.1,No,8.6
R000244,U01210,C0283,D02016,2025-02-01 12:43:01,Computador,4K,70.7,79.4,No,10.8
R000245,U01044,C0176,D01732,2025-05-05 19:40:33,Computador,Full HD,47.7,49.7,No,10.1
R000246,U01045,C0305,D01733,2025-06-06 10:12:23,Móvil,HD,52.5,45.3,No,12.5
R000247,U00477,C0098,D00789,2025-03-24 14:54:45,Smart TV,Full HD,30.0,100,No,0
R000248,U00277,C0403,D00463,2025-11-27 17:18:52,Computador,SD,83.9,59.9,No,13.9
R000249,U00377,C0258,D00630,2025-04-23 15:09:41,Smart TV,HD,68.2,91.0,No,0.3
R000250,U00184,C0016,D00305,2025-12-25 19:22:14,Computador,HD,58.0,100,No,3.6
R000251,U01402,C0350,D02327,2025-04-11 20:49:08,Móvil,Full HD,53.6,45.8,No,18.3
R000252,U01055,C0321,D01757,2025-10-30 16:19:07,Móvil,Full HD,41.8,95.0,No,16.7
R000253,U00083,C0120,D00135,2025-12-15 21:35:19,Móvil,4K,69.6,68.9,No,14.8
R000254,U00459,C0191,D00758,2025-09-29 15:14:55,Tablet,Full HD,21.5,41.4,No,11.0
R000255,U00913,C0246,D01503,2025-06-17 16:51:11,Móvil,HD,63.3,46.9,No,12.6
R000256,U00486,C0259,D00806,2025-03-11 13:39:48,Smart TV,4K,132.3,98.7,No,4.8
R000257,U01085,C0232,D01803,2025-09-06 14:29:10,Móvil,Full HD,22.6,75.3,No,5.9
R000258,U00864,C0161,D01418,2025-08-27 04:36:39,Móvil,Full HD,55.4,70.1,No,7.8
R000259,U00551,C0375,D00917,2025-03-16 18:26:17,Smart TV,Full HD,109.0,70.8,No,0
R000260,U01325,C0246,D02200,2025-09-05 12:10:04,Móvil,Full HD,94.1,69.7,No,31.7
R000261,U00496,C0067,D00825,2025-05-22 19:40:25,Móvil,HD,86.7,64.2,No,4.4
R000262,U01323,C0068,D02197,2025-12-25 09:38:08,Tablet,4K,53.3,52.8,No,11.4
R000263,U00074,C0025,D00120,2025-10-17 12:33:58,Smart TV,4K,55.0,100,No,4.3
R000264,U01244,C0400,D02073,2025-09-06 18:00:52,Computador,HD,34.3,76.2,No,0.0
R000265,U00185,C0047,D00306,2025-08-19 18:33:35,Smart TV,4K,120.6,92.8,No,0.6
R000266,U00596,C0246,D00984,2025-05-02 20:54:55,Computador,HD,75.1,55.6,No,6.2
R000267,U00219,C0387,D00363,2025-02-14 09:25:37,Móvil,Full HD,50.6,40.8,No,7.4
