suscripcion_id,usuario_id,plan,fecha_inicio,fecha_fin,estado,precio_mensual_usd,renovacion_automatica,motivo_cancelacion
S00070,U00070,Básico,2025-10-16,2025-12-02,Cancelada,6.99,No,Otro
S00071,U00071,Básico,2023-12-21,2025-10-11,Cancelada,6.99,Sí,Contenido insuficiente
S00072,U00072,Estándar,2024-10-07,,Activa,9.99,Sí,
S00073,U00073,Estándar,2024-12-08,,Activa,9.99,Sí,
S00074,U00074,Premium,2025-09-14,2025-12-10,Cancelada,13.99,No,Cambio a otra plataforma
S00075,U00075,Estándar,2024-04-30,,Activa,9.99,Sí,
S00076,U00076,Básico,2024-02-05,,Activa,6.99,Sí,
S00077,U00077,Básico,2023-03-18,,Activa,6.99,Sí,
S00078,U00078,Premium,2024-10-06,,Activa,13.99,Sí,
S00079,U00079,Premium,2023-07-03,,Activa,13.99,Sí,
S00080,U00080,Básico,2023-10-11,2025-12-20,Cancelada,6.99,No,Poco uso
S00081,U00081,Estándar,2023-02-24,,Activa,9.99,Sí,
S00082,U00082,Premium,2024-06-19,,Activa,13.99,Sí,
S00083,U00083,Premium,2025-08-02,,Activa,13.99,Sí,
S00084,U00084,Básico,2025-08-31,2025-11-26,Cancelada,6.99,No,Poco uso
S00085,U00085,Estándar,2025-05-17,,Activa,9.99,Sí,
S00086,U00086,Estándar,2024-03-02,2025-11-03,Cancelada,9.99,Sí,Otro
S00087,U00087,Premium,2023-09-10,,Activa,13.99,Sí,
S00088,U00088,Básico,2025-01-25,2025-12-04,Cancelada,6.99,No,Poco uso
S00089,U00089,Básico,2025-04-12,,Activa,6.99,Sí,
S00090,U00090,Estándar,2023-07-08,2025-09-02,Cancelada,9.99,No,Cambio a otra plataforma
S00091,U00091,Estándar,2024-07-20,,Activa,9.99,Sí,
S00092,U00092,Premium,2023-05-09,,Activa,13.99,Sí,
S00093,U00093,Estándar,2024-04-22,,Activa,9.99,Sí,
S00094,U00094,Estándar,2024-01-25,,Activa,9.99,Sí,
S00095,U00095,Estándar,2024-10-26,2025-08-28,Cancelada,9.99,Sí,Precio
S00096,U00096,Estándar,2025-03-28,,Activa,9.99,Sí,
S00097,U00097,Premium,2024-01-27,2025-10-30,Cancelada,13.99,Sí,Precio
S00098,U00098,Estándar,2025-04-17,,Activa,9.99,Sí,
S00099,U00099,Estándar,2023-08-09,,Activa,9.99,Sí,
S00100,U00100,Premium,2024-12-20,,Activa,13.99,Sí,
S00101,U00101,Básico,2023-08-12,,Activa,6.99,Sí,
S00102,U00102,Premium,2025-01-09,2025-12-04,Cancelada,13.99,No,Poco uso
S00103,U00103,Premium,2024-12-08,,Activa,13.99,Sí,
S00104,U00104,Básico,2024-08-31,,Activa,6.99,Sí,
S00105,U00105,Básico,2025-08-31,,Activa,6.99,Sí,
S00106,U00106,Premium,2023-11-13,,Activa,13.99,Sí,
S00107,U00107,Básico,2025-10-12,2025-11-29,Cancelada,6.99,No,Poco uso
S00108,U00108,Estándar,2023-06-12,2025-04-13,Cancelada,9.99,No,Problemas técnicos
S00109,U00109,Básico,2023-07-21,,Activa,6.99,Sí,
S00110,U00110,Básico,2024-03-22,2025-11-11,Cancelada,6.99,Sí,Contenido insuficiente
S00111,U00111,Básico,2024-09-25,,Activa,6.99,Sí,
S00112,U00112,Básico,2024-05-19,2025-05-10,Cancelada,6.99,Sí,Cambio a otra plataforma
S00113,U00113,Estándar,2024-10-26,,Activa,9.99,Sí,
S00114,U00114,Básico,2025-06-24,2025-09-27,Cancelada,6.99,No,Poco uso
S00115,U00115,Estándar,2025-06-05,,Activa,9.99,Sí,
S00116,U00116,Premium,2024-08-13,,Activa,13.99,Sí,
S00117,U00117,Básico,2025-08-15,,Activa,6.99,Sí,
S00118,U00118,Básico,2023-08-22,2025-09-26,Cancelada,6.99,No,Poco uso
S00119,U00119,Estándar,2023-02-10,,Activa,9.99,Sí,
S00120,U00120,Básico,2025-02-10,,Activa,6.99,Sí,
S00121,U00121,Básico,2024-12-24,,Activa,6.99,Sí,
S00122,U00122,Básico,2025-01-23,,Activa,6.99,Sí,
S00123,U00123,Estándar,2024-11-02,2025-05-08,Cancelada,9.99,No,Precio
S00124,U00124,Estándar,2024-08-17,,Activa,9.99,Sí,
S00125,U00125,Premium,2025-06-16,2025-08-20,Cancelada,13.99,No,Precio
S00126,U00126,Básico,2023-09-06,,Activa,6.99,Sí,
S00127,U00127,Básico,2024-08-12,,Activa,6.99,Sí,
S00128,U00128,Estándar,2023-12-24,,Activa,9.99,Sí,
S00129,U00129,Premium,2024-01-13,,Activa,13.99,Sí,
S00130,U00130,Básico,2025-06-21,,Activa,6.99,Sí,
S00131,U00131,Estándar,2025-04-07,,Activa,9.99,Sí,
S00132,U00132,Básico,2024-09-24,,Activa,6.99,Sí,
S00133,U00133,Premium,2024-10-29,,Activa,13.99,Sí,
S00134,U00134,Premium,2023-07-05,,Activa,13.99,Sí,
S00135,U00135,Estándar,2024-06-18,,Activa,9.99,Sí,
S00136,U00136,Estándar,2024-04-24,,Activa,9.99,Sí,
S00137,U00137,Estándar,2023-07-08,,Activa,9.99,Sí,
S00138,U00138,Básico,2023-04-15,,Activa,6.99,Sí,
S00139,U00139,Básico,2025-10-17,,Activa,6.99,Sí,
S00140,U00140,Estándar,2025-07-25,,Activa,9.99,Sí,
S00141,U00141,Básico,2023-07-07,,Activa,6.99,Sí,
S00142,U00142,Básico,2025-06-27,2025-12-20,Cancelada,6.99,No,Cambio a otra plataforma
S00143,U00143,Premium,2023-07-24,2025-08-12,Cancelada,13.99,No,Poco uso
S00144,U00144,Estándar,2023-10-28,2025-08-28,Cancelada,9.99,No,Cambio a otra plataforma
S00145,U00145,Estándar,2025-07-01,,Activa,9.99,Sí,
S00146,U00146,Básico,2024-09-28,2025-05-12,Cancelada,6.99,No,Cambio a otra plataforma
S00147,U00147,Premium,2023-10-02,2025-10-10,Cancelada,13.99,Sí,Problemas técnicos
S00148,U00148,Básico,2023-02-21,2025-06-28,Cancelada,6.99,No,Poco uso
S00149,U00149,Premium,2023-08-18,2025-08-08,Cancelada,13.99,No,Contenido insuficiente
S00150,U00150,Básico,2024-12-04,,Activa,6.99,Sí,
S00151,U00151,Premium,2025-11-13,,Activa,13.99,Sí,
S00152,U00152,Estándar,2023-12-16,,Activa,9.99,Sí,
S00153,U00153,Estándar,2023-05-09,,Activa,9.99,Sí,
S00154,U00154,Básico,2024-11-09,2025-11-16,Cancelada,6.99,No,Poco uso
S00155,U00155,Básico,2024-03-07,,Activa,6.99,Sí,
S00156,U00156,Estándar,2024-07-10,,Activa,9.99,Sí,
S00157,U00157,Premium,2023-05-09,2025-08-26,Cancelada,13.99,Sí,Contenido insuficiente
S00158,U00158,Premium,2024-09-21,2025-06-28,Cancelada,13.99,Sí,Precio
S00159,U00159,Estándar,2024-06-23,,Activa,9.99,Sí,
S00160,U00160,Estándar,2025-03-18,,Activa,9.99,Sí,
S00161,U00161,Estándar,2023-03-24,,Activa,9.99,Sí,
S00162,U00162,Premium,2025-09-18,,Activa,13.99,Sí,
S00163,U00163,Básico,2025-10-06,,Activa,6.99,Sí,
S00164,U00164,Básico,2023-08-05,2025-07-14,Cancelada,6.99,Sí,Contenido insuficiente
S00165,U00165,Estándar,2023-01-27,,Activa,9.99,Sí,
S00166,U00166,Básico,2024-08-25,2025-01-30,Cancelada,6.99,Sí,Precio
S00167,U00167,Estándar,2023-07-07,,Activa,9.99,Sí,
S00168,U00168,Estándar,2023-01-28,,Activa,9.99,Sí,
S00169,U00169,Premium,2023-05-22,,Activa,13.99,Sí,
S00170,U00170,Estándar,2024-09-25,,Activa,9.99,Sí,
S00171,U00171,Básico,2023-02-23,,Activa,6.99,Sí,
S00172,U00172,Estándar,2025-08-06,,Activa,9.99,Sí,
S00173,U00173,Premium,2023-06-09,,Activa,13.99,Sí,
S00174,U00174,Premium,2023-11-07,,Activa,13.99,Sí,
S00175,U00175,Básico,2025-04-21,2025-11-20,Cancelada,6.99,No,Otro
S00176,U00176,Estándar,2024-04-08,,Activa,9.99,Sí,
S00177,U00177,Básico,2023-12-27,2025-07-02,Cancelada,6.99,No,Contenido insuficiente
S00178,U00178,Básico,2025-01-22,2025-08-29,Cancelada,6.99,No,Poco uso
S00179,U00179,Estándar,2025-01-07,,Activa,9.99,Sí,
S00180,U00180,Básico,2024-07-14,,Activa,6.99,Sí,
S00181,U00181,Estándar,2024-12-08,,Activa,9.99,Sí,
S00182,U00182,Básico,2024-04-15,,Activa,6.99,Sí,
S00183,U00183,Estándar,2024-11-19,2025-03-24,Cancelada,9.99,No,Precio
S00184,U00184,Básico,2025-01-29,2025-12-20,Cancelada,6.99,No,Poco uso
S00185,U00185,Estándar,2025-08-15,,Activa,9.99,Sí,
S00186,U00186,Premium,2024-10-27,,Activa,13.99,Sí,
S00187,U00187,Estándar,2025-06-02,,Activa,9.99,Sí,
S00188,U00188,Básico,2023-05-24,,Activa,6.99,Sí,
S00189,U00189,Básico,2025-07-07,,Activa,6.99,Sí,
S00190,U00190,Estándar,2025-04-23,,Activa,9.99,Sí,
S00191,U00191,Básico,2025-07-04,,Activa,6.99,Sí,
S00192,U00192,Estándar,2025-04-25,,Activa,9.99,Sí,
S00193,U00193,Básico,2024-11-12,2025-08-30,Cancelada,6.99,No,Cambio a otra plataforma
S00194,U00194,Premium,2024-10-01,,Activa,13.99,Sí,
S00195,U00195,Estándar,2024-12-11,,Activa,9.99,Sí,
S00196,U00196,Básico,2024-12-18,2025-09-20,Cancelada,6.99,No,Problemas técnicos
S00197,U00197,Premium,2024-03-26,,Activa,13.99,Sí,
S00198,U00198,Estándar,2024-09-13,,Activa,9.99,Sí,
S00199,U00199,Premium,2025-03-02,,Activa,13.99,Sí,
S00200,U00200,Premium,2025-10-16,,Activa,13.99,Sí,
S00201,U00201,Estándar,2024-03-19,,Activa,9.99,Sí,
S00202,U00202,Básico,2024-02-11,2025-04-02,Cancelada,6.99,No,Poco uso
S00203,U00203,Estándar,2023-10-09,,Activa,9.99,Sí,
S00204,U00204,Básico,2023-01-28,,Activa,6.99,Sí,
S00205,U00205,Premium,2023-04-22,,Activa,13.99,Sí,
S00206,U00206,Premium,2023-04-17,,Activa,13.99,Sí,
S00207,U00207,Básico,2025-05-16,,Activa,6.99,Sí,
S00208,U00208,Estándar,2023-10-11,,Activa,9.99,Sí,
S00209,U00209,Premium,2023-07-06,,Activa,13.99,Sí,
S00210,U00210,Básico,2023-07-30,2025-06-06,Cancelada,6.99,No,Contenido insuficiente
S00211,U00211,Estándar,2025-09-24,2025-12-13,Cancelada,9.99,No,Poco uso
S00212,U00212,Básico,2023-06-22,,Activa,6.99,Sí,
S00213,U00213,Estándar,2023-02-20,,Activa,9.99,Sí,
S00214,U00214,Estándar,2024-05-03,,Activa,9.99,Sí,
S00215,U00215,Básico,2024-03-15,,Activa,6.99,Sí,
S00216,U00216,Premium,2023-03-10,,Activa,13.99,Sí,
S00217,U00217,Básico,2023-10-27,2025-12-20,Cancelada,6.99,No,Poco uso
S00218,U00218,Estándar,2024-11-12,,Activa,9.99,Sí,
S00219,U00219,Estándar,2023-09-27,,Activa,9.99,Sí,
S00220,U00220,Estándar,2024-07-05,,Activa,9.99,Sí,
S00221,U00221,Básico,2023-07-20,,Activa,6.99,Sí,
S00222,U00222,Estándar,2023-08-14,,Activa,9.99,Sí,
S00223,U00223,Básico,2024-04-25,,Activa,6.99,Sí,
S00224,U00224,Estándar,2023-03-18,2025-03-14,Cancelada,9.99,No,Problemas técnicos
S00225,U00225,Estándar,2023-05-22,,Activa,9.99,Sí,
S00226,U00226,Premium,2024-06-21,,Activa,13.99,Sí,
S00227,U00227,Estándar,2023-04-13,2025-11-05,Cancelada,9.99,No,Poco uso
S00228,U00228,Básico,2024-03-27,,Activa,6.99,Sí,
S00229,U00229,Premium,2023-06-01,,Activa,13.99,Sí,
S00230,U00230,Estándar,2023-10-06,,Activa,9.99,Sí,
S00231,U00231,Estándar,2023-05-11,,Activa,9.99,Sí,
S00232,U00232,Estándar,2023-05-16,,Activa,9.99,Sí,
S00233,U00233,Estándar,2025-02-02,2025-10-03,Cancelada,9.99,Sí,Poco uso
S00234,U00234,Premium,2023-07-14,,Activa,13.99,Sí,
S00235,U00235,Estándar,2024-07-26,,Activa,9.99,Sí,
S00236,U00236,Básico,2025-09-01,,Activa,6.99,Sí,
S00237,U00237,Premium,2023-11-13,,Activa,13.99,Sí,
S00238,U00238,Estándar,2025-08-23,2025-11-03,Cancelada,9.99,No,Precio
S00239,U00239,Estándar,2024-05-15,,Activa,9.99,Sí,
S00240,U00240,Premium,2024-09-11,,Activa,13.99,Sí,
S00241,U00241,Estándar,2025-11-09,,Activa,9.99,Sí,
S00242,U00242,Estándar,2024-07-19,2025-09-08,Cancelada,9.99,Sí,Poco uso
S00243,U00243,Estándar,2024-07-01,,Activa,9.99,Sí,
S00244,U00244,Estándar,2025-08-05,,Activa,9.99,Sí,
S00245,U00245,Estándar,2024-03-20,,Activa,9.99,Sí,
S00246,U00246,Estándar,2024-11-30,,Activa,9.99,Sí,
S00247,U00247,Estándar,2023-01-04,2025-08-24,Cancelada,9.99,No,Contenido insuficiente
S00248,U00248,Estándar,2025-04-14,2025-08-27,Cancelada,9.99,No,Problemas técnicos
S00249,U00249,Estándar,2025-09-07,,Activa,9.99,Sí,
S00250,U00250,Estándar,2025-05-17,,Activa,9.99,Sí,
S00251,U00251,Básico,2025-02-10,,Activa,6.99,Sí,
S00252,U00252,Básico,2024-03-26,,Activa,6.99,Sí,
S00253,U00253,Estándar,2023-06-03,,Activa,9.99,Sí,
S00254,U00254,Estándar,2025-09-22,,Activa,9.99,Sí,
S00255,U00255,Básico,2023-11-02,2025-03-18,Cancelada,6.99,No,Poco uso
S00256,U00256,Básico,2023-02-11,,Activa,6.99,Sí,
S00257,U00257,Básico,2025-09-05,2025-12-20,Cancelada,6.99,No,Cambio a otra plataforma
S00258,U00258,Estándar,2023-02-15,,Activa,9.99,Sí,
S00259,U00259,Premium,2024-01-05,,Activa,13.99,Sí,
S00260,U00260,Estándar,2023-12-20,,Activa,9.99,Sí,
S00261,U00261,Estándar,2024-07-06,,Activa,9.99,Sí,
S00262,U00262,Estándar,2025-03-05,,Activa,9.99,Sí,
S00263,U00263,Premium,2024-10-08,,Activa,13.99,Sí,
S00264,U00264,Estándar,2023-07-09,2025-12-02,Cancelada,9.99,No,Cambio a otra plataforma
S00265,U00265,Estándar,2023-11-15,,Activa,9.99,Sí,
S00266,U00266,Estándar,2023-10-18,2025-08-15,Cancelada,9.99,No,Otro
S00267,U00267,Básico,2025-08-14,,Activa,6.99,Sí,
S00268,U00268,Básico,2024-07-19,2025-12-19,Cancelada,6.99,No,Poco uso
S00269,U00269,Básico,2024-09-21,,Activa,6.99,Sí,
S00270,U00270,Estándar,2025-07-26,,Activa,9.99,Sí,
S00271,U00271,Básico,2024-10-23,2025-04-30,Cancelada,6.99,No,Precio
S00272,U00272,Estándar,2023-05-12,,Activa,9.99,Sí,
S00273,U00273,Básico,2024-07-13,,Activa,6.99,Sí,
S00274,U00274,Estándar,2024-06-14,,Activa,9.99,Sí,
S00275,U00275,Estándar,2025-01-01,,Activa,9.99,Sí,
S00276,U00276,Básico,2025-03-11,,Activa,6.99,Sí,
S00277,U00277,Estándar,2025-10-29,,Activa,9.99,Sí,
S00278,U00278,Estándar,2024-05-01,,Activa,9.99,Sí,
S00279,U00279,Estándar,2025-08-22,,Activa,9.99,Sí,
S00280,U00280,Básico,2023-03-19,,Activa,6.99,Sí,
S00281,U00281,Estándar,2025-01-29,,Activa,9.99,Sí,
S00282,U00282,Estándar,2024-07-27,,Activa,9.99,Sí,
S00283,U00283,Estándar,2025-06-28,,Activa,9.99,Sí,
S00284,U00284,Básico,2024-01-29,2025-10-19,Cancelada,6.99,Sí,Poco uso
S00285,U00285,Premium,2023-07-09,,Activa,13.99,Sí,
S00286,U00286,Básico,2025-10-27,,Activa,6.99,Sí,
S00287,U00287,Básico,2024-11-05,,Activa,6.99,Sí,
S00288,U00288,Básico,2025-11-22,,Activa,6.99,Sí,
S00289,U00289,Estándar,2024-02-17,,Activa,9.99,Sí,
S00290,U00290,Básico,2024-09-24,,Activa,6.99,Sí,
S00291,U00291,Básico,2024-02-03,,Activa,6.99,Sí,
S00292,U00292,Básico,2024-04-12,2025-10-27,Cancelada,6.99,No,Problemas técnicos
S00293,U00293,Básico,2025-08-07,,Activa,6.99,Sí,
S00294,U00294,Básico,2025-10-13,2025-12-12,Cancelada,6.99,Sí,Cambio a otra plataforma
S00295,U00295,Estándar,2023-12-09,,Activa,9.99,Sí,
S00296,U00296,Básico,2025-09-03,2025-12-20,Cancelada,6.99,No,Precio
S00297,U00297,Básico,2025-10-14,2025-12-04,Cancelada,6.99,No,Cambio a otra plataforma
S00298,U00298,Básico,2024-04-11,2025-09-14,Cancelada,6.99,No,Poco uso
S00299,U00299,Estándar,2025-10-08,,Activa,9.99,Sí,
S00300,U00300,Estándar,2025-03-23,,Activa,9.99,Sí,
S00301,U00301,Premium,2025-01-03,,Activa,13.99,Sí,
S00302,U00302,Premium,2025-04-17,,Activa,13.99,Sí,
S00303,U00303,Básico,2025-02-22,2025-09-26,Cancelada,6.99,Sí,Poco uso
S00304,U00304,Básico,2025-10-12,,Activa,6.99,Sí,
S00305,U00305,Básico,2024-06-29,2025-12-20,Cancelada,6.99,No,Poco uso
S00306,U00306,Básico,2023-12-02,,Activa,6.99,Sí,
S00307,U00307,Estándar,2025-09-02,,Activa,9.99,Sí,
S00308,U00308,Básico,2024-02-03,2025-11-19,Cancelada,6.99,No,Precio
S00309,U00309,Básico,2024-11-04,2025-09-11,Cancelada,6.99,No,Contenido insuficiente
S00310,U00310,Estándar,2023-01-18,,Activa,9.99,Sí,
S00311,U00311,Premium,2023-11-25,,Activa,13.99,Sí,
S00312,U00312,Premium,2024-09-27,,Activa,13.99,Sí,
S00313,U00313,Básico,2025-05-30,,Activa,6.99,Sí,
S00314,U00314,Premium,2023-08-06,,Activa,13.99,Sí,
S00315,U00315,Básico,2025-10-12,,Activa,6.99,Sí,
S00316,U00316,Básico,2024-09-14,2025-06-22,Cancelada,6.99,No,Problemas técnicos
S00317,U00317,Básico,2025-06-08,,Activa,6.99,Sí,
S00318,U00318,Estándar,2024-07-26,,Activa,9.99,Sí,
S00319,U00319,Básico,2023-10-21,2025-04-13,Cancelada,6.99,No,Contenido insuficiente
S00320,U00320,Estándar,2024-12-15,,Activa,9.99,Sí,
S00321,U00321,Premium,2023-04-11,,Activa,13.99,Sí,
S00322,U00322,Básico,2024-02-08,,Activa,6.99,Sí,
S00323,U00323,Básico,2024-10-31,,Activa,6.99,Sí,
S00324,U00324,Estándar,2023-11-17,,Activa,9.99,Sí,
S00325,U00325,Premium,2024-07-02,,Activa,13.99,Sí,
S00326,U00326,Estándar,2024-02-19,,Activa,9.99,Sí,
S00327,U00327,Básico,2024-12-14,2025-03-05,Cancelada,6.99,No,Poco uso
S00328,U00328,Básico,2025-09-12,2025-11-24,Cancelada,6.99,Sí,Poco uso
S00329,U00329,Premium,2024-04-11,,Activa,13.99,Sí,
S00330,U00330,Estándar,2023-03-05,,Activa,9.99,Sí,
S00331,U00331,Estándar,2023-03-13,,Activa,9.99,Sí,
S00332,U00332,Estándar,2025-02-02,,Activa,9.99,Sí,
S00333,U00333,Básico,2025-05-20,,Activa,6.99,Sí,
S00334,U00334,Estándar,2024-07-21,,Activa,9.99,Sí,
S00335,U00335,Estándar,2025-08-01,,Activa,9.99,Sí,
S00336,U00336,Estándar,2023-07-20,,Activa,9.99,Sí,
S00337,U00337,Estándar,2025-10-29,2025-12-13,Cancelada,9.99,Sí,Precio
S00338,U00338,Básico,2025-10-20,,Activa,6.99,Sí,
S00339,U00339,Estándar,2024-09-13,,Activa,9.99,Sí,
S00340,U00340,Estándar,2023-07-12,,Activa,9.99,Sí,
S00341,U00341,Estándar,2023-07-09,2025-02-19,Cancelada,9.99,Sí,Cambio a otra plataforma
S00342,U00342,Estándar,2025-09-09,,Activa,9.99,Sí,
S00343,U00343,Estándar,2025-07-22,2025-10-18,Cancelada,9.99,No,Cambio a otra plataforma
S00344,U00344,Estándar,2023-10-09,,Activa,9.99,Sí,
S00345,U00345,Estándar,2023-07-03,,Activa,9.99,Sí,
S00346,U00346,Básico,2024-11-19,,Activa,6.99,Sí,
S00347,U00347,Básico,2024-09-07,,Activa,6.99,Sí,
S00348,U00348,Básico,2025-07-13,2025-10-01,Cancelada,6.99,No,Precio
S00349,U00349,Premium,2023-01-13,,Activa,13.99,Sí,
S00350,U00350,Premium,2024-03-26,,Activa,13.99,Sí,
S00351,U00351,Premium,2023-10-16,,Activa,13.99,Sí,
S00352,U00352,Básico,2024-12-25,,Activa,6.99,Sí,
S00353,U00353,Estándar,2023-06-16,2025-07-12,Cancelada,9.99,No,Poco uso
S00354,U00354,Básico,2024-03-26,,Activa,6.99,Sí,
S00355,U00355,Básico,2025-08-15,2025-10-31,Cancelada,6.99,No,Poco uso
S00356,U00356,Estándar,2024-12-31,,Activa,9.99,Sí,
S00357,U00357,Estándar,2025-05-11,,Activa,9.99,Sí,
S00358,U00358,Estándar,2023-07-29,,Activa,9.99,Sí,
S00359,U00359,Premium,2023-05-02,,Activa,13.99,Sí,
S00360,U00360,Estándar,2025-08-18,,Activa,9.99,Sí,
S00361,U00361,Estándar,2025-05-16,,Activa,9.99,Sí,
S00362,U00362,Estándar,2025-05-23,2025-11-02,Cancelada,9.99,No,Precio
S00363,U00363,Básico,2023-12-23,2025-05-19,Cancelada,6.99,Sí,Precio
S00364,U00364,Premium,2024-09-28,,Activa,13.99,Sí,
S00365,U00365,Estándar,2024-03-13,,Activa,9.99,Sí,
S00366,U00366,Estándar,2023-03-02,,Activa,9.99,Sí,
S00367,U00367,Premium,2024-12-18,2025-05-24,Cancelada,13.99,No,Contenido insuficiente
S00368,U00368,Estándar,2025-05-26,,Activa,9.99,Sí,
S00369,U00369,Básico,2023-03-24,2025-01-19,Cancelada,6.99,No,Otro
S00370,U00370,Básico,2023-09-15,,Activa,6.99,Sí,
S00371,U00371,Estándar,2024-05-13,,Activa,9.99,Sí,
S00372,U00372,Estándar,2023-10-15,2025-11-10,Cancelada,9.99,No,Precio
S00373,U00373,Básico,2023-03-03,,Activa,6.99,Sí,
S00374,U00374,Estándar,2024-12-17,2025-02-17,Cancelada,9.99,No,Contenido insuficiente
S00375,U00375,Básico,2024-01-20,2025-02-11,Cancelada,6.99,No,Poco uso
