calificacion_id,usuario_id,contenido_id,fecha_calificacion,puntuacion_1_5,recomendaria,categoria_comentario
K00084,U01446,C0052,2025-12-27 22:30:07,5,Sí,Contenido
K00085,U01446,C0296,2025-09-28 21:12:50,4,Sí,Experiencia general
K00086,U00849,C0415,2025-07-26 19:55:53,4,Sí,Historia
K00087,U00849,C0397,2025-09-18 15:57:45,3,No,Experiencia general
K00088,U00849,C0180,2025-10-10 19:56:51,4,Sí,Experiencia general
K00089,U00849,C0366,2025-10-07 06:23:25,4,Sí,Experiencia general
K00090,U00837,C0250,2025-02-10 19:09:46,4,Sí,Historia
K00091,U00679,C0232,2025-10-19 07:40:43,4,Sí,Historia
K00092,U00679,C0040,2025-08-06 16:50:11,4,Sí,Contenido
K00093,U01343,C0256,2025-12-21 16:14:04,4,Sí,Contenido
K00094,U01343,C0198,2025-10-31 15:09:23,4,Sí,Contenido
K00095,U01343,C0161,2025-12-25 21:29:40,5,Sí,Contenido
K00096,U00775,C0328,2025-10-06 21:06:45,3,No,Historia
K00097,U00775,C0164,2025-09-23 19:08:52,4,Sí,Calidad técnica
K00098,U00775,C0237,2025-06-26 10:17:57,4,Sí,Contenido
K00099,U00775,C0322,2025-07-22 18:09:11,4,Sí,Experiencia general
K00100,U00497,C0168,2025-11-30 21:09:22,3,No,Historia
K00101,U00497,C0174,2025-12-10 22:25:58,5,Sí,Historia
K00102,U00698,C0355,2025-09-15 20:36:13,4,Sí,Contenido
K00103,U00698,C0234,2025-10-15 11:42:06,5,Sí,Contenido
K00104,U00698,C0052,2025-08-26 19:37:22,3,No,Contenido
K00105,U00365,C0368,2025-07-07 18:08:05,4,Sí,Contenido
K00106,U00365,C0313,2025-03-30 20:11:50,4,Sí,Experiencia general
K00107,U00919,C0170,2025-07-26 22:14:41,3,No,Calidad técnica
K00108,U00919,C0246,2025-10-23 09:27:22,4,Sí,Historia
K00109,U00919,C0301,2025-11-28 12:06:19,4,Sí,Experiencia general
K00110,U00919,C0169,2025-12-09 21:45:24,4,Sí,Actuación
K00111,U00238,C0070,2025-09-07 23:30:45,4,Sí,Historia
K00112,U00238,C0323,2025-09-24 22:44:56,4,Sí,Contenido
K00113,U00878,C0358,2025-04-01 22:04:01,4,Sí,Contenido
K00114,U01448,C0057,2025-06-22 16:57:22,5,Sí,Historia
K00115,U01448,C0258,2025-04-06 22:39:27,4,Sí,Experiencia general
K00116,U01448,C0359,2025-04-28 17:56:03,5,Sí,Historia
K00117,U01448,C0406,2025-05-20 19:34:55,5,Sí,Contenido
K00118,U01448,C0048,2025-01-19 08:10:45,4,Sí,Contenido
K00119,U00576,C0163,2025-10-15 20:50:56,4,Sí,Contenido
K00120,U00153,C0133,2025-11-30 21:43:06,4,Sí,Contenido
K00121,U00400,C0209,2025-12-14 12:27:36,4,Sí,Experiencia general
K00122,U00519,C0046,2025-04-02 19:07:06,4,Sí,Calidad técnica
K00123,U00078,C0054,2025-01-10 22:50:29,4,Sí,Contenido
K00124,U00078,C0217,2025-02-03 16:20:26,3,No,Contenido
K00125,U00078,C0376,2025-11-12 00:48:33,4,Sí,Historia
K00126,U00078,C0067,2025-04-02 20:50:48,4,Sí,Contenido
K00127,U00723,C0324,2025-04-08 19:21:36,3,No,Historia
K00128,U00723,C0378,2025-08-31 22:57:58,5,Sí,Historia
K00129,U00047,C0153,2025-09-29 21:56:05,4,Sí,Experiencia general
K00130,U00047,C0004,2025-10-13 07:04:55,3,No,Contenido
K00131,U00906,C0261,2025-12-07 17:43:14,4,Sí,Contenido
K00132,U00906,C0003,2025-12-15 18:35:16,4,Sí,Contenido
K00133,U00906,C0418,2025-03-07 10:55:48,4,Sí,Calidad técnica
K00134,U00906,C0037,2025-03-04 14:42:57,4,Sí,Actuación
K00135,U00659,C0278,2025-04-08 11:53:02,4,Sí,Contenido
K00136,U00659,C0311,2025-09-18 18:54:50,4,Sí,Contenido
K00137,U00659,C0366,2025-03-28 19:57:05,4,Sí,Actuación
K00138,U00659,C0118,2025-09-03 09:29:32,4,Sí,Experiencia general
K00139,U00069,C0034,2025-01-04 21:49:31,4,Sí,Historia
K00140,U00069,C0275,2025-02-07 17:56:28,4,Sí,Contenido
K00141,U00015,C0143,2025-04-10 08:10:52,4,Sí,Experiencia general
K00142,U00015,C0025,2025-07-13 11:02:41,4,Sí,Actuación
K00143,U00015,C0060,2025-02-09 20:24:43,4,Sí,Calidad técnica
K00144,U01336,C0080,2025-03-24 20:52:40,5,Sí,Contenido
K00145,U00633,C0200,2025-08-27 18:00:11,4,Sí,Contenido
K00146,U00561,C0144,2025-08-10 22:26:03,4,Sí,Actuación
K00147,U00561,C0238,2025-11-06 20:46:27,4,Sí,Contenido
K00148,U00481,C0056,2025-08-21 20:35:58,4,Sí,Historia
K00149,U00481,C0161,2025-07-29 10:55:03,5,Sí,Contenido
K00150,U00283,C0055,2025-09-13 12:35:14,4,Sí,Historia
K00151,U00283,C0367,2025-11-07 22:11:44,4,Sí,Historia
K00152,U00283,C0193,2025-07-10 13:18:03,4,Sí,Contenido
K00153,U00890,C0174,2025-09-23 11:23:03,4,Sí,Actuación
K00154,U00890,C0197,2025-02-17 07:50:24,4,Sí,Contenido
K00155,U00932,C0222,2025-01-17 21:13:17,5,Sí,Calidad técnica
K00156,U00932,C0202,2025-08-03 13:27:06,4,Sí,Experiencia general
K00157,U00932,C0327,2025-07-21 08:49:02,4,Sí,Historia
K00158,U00932,C0115,2025-11-09 09:37:54,5,Sí,Calidad técnica
K00159,U00932,C0209,2025-01-11 19:38:04,3,No,Calidad técnica
K00160,U00889,C0132,2025-06-21 12:54:56,5,Sí,Actuación
K00161,U00401,C0349,2025-01-14 23:56:33,4,Sí,Experiencia general
K00162,U00401,C0300,2025-05-01 18:17:01,4,Sí,Historia
K00163,U00401,C0143,2025-10-30 09:06:12,4,Sí,Contenido
K00164,U00401,C0372,2025-10-07 11:26:47,4,Sí,Experiencia general
K00165,U00434,C0180,2025-07-09 21:01:20,4,Sí,Historia
K00166,U00434,C0312,2025-04-23 19:56:47,4,Sí,Experiencia general
K00167,U00434,C0411,2025-04-22 22:50:40,4,Sí,Contenido
K00168,U00099,C0384,2025-07-07 19:00:08,4,Sí,Contenido
K00169,U00099,C0138,2025-08-01 00:30:59,4,Sí,Experiencia general
K00170,U00099,C0409,2025-01-27 17:30:21,4,Sí,Experiencia general
K00171,U01483,C0369,2025-07-09 12:19:50,3,No,Contenido
K00172,U01483,C0005,2025-09-27 22:11:52,3,No,Contenido
K00173,U01483,C0260,2025-05-31 20:03:02,4,Sí,Contenido
K00174,U01464,C0262,2025-01-13 19:34:18,4,Sí,Historia
K00175,U01464,C0405,2025-06-03 15:07:13,4,Sí,Actuación
K00176,U01464,C0184,2025-12-02 18:41:38,4,Sí,Experiencia general
K00177,U00014,C0185,2025-12-01 01:03:20,4,Sí,Experiencia general
K00178,U00014,C0206,2025-07-27 20:15:33,5,Sí,Experiencia general
K00179,U00014,C0208,2025-09-09 15:43:07,4,Sí,Calidad técnica
K00180,U00014,C0231,2025-10-04 04:01:21,5,Sí,Contenido
K00181,U01038,C0116,2025-11-22 22:27:41,5,Sí,Calidad técnica
K00182,U00266,C0359,2025-02-28 17:43:33,4,Sí,Historia
K00183,U00266,C0151,2025-01-28 17:10:50,4,Sí,Contenido
K00184,U00266,C0299,2025-05-31 18:47:46,4,Sí,Experiencia general
K00185,U00266,C0365,2025-04-28 22:11:04,4,Sí,Historia
K00186,U01036,C0334,2025-10-06 22:44:20,4,Sí,Historia
K00187,U00479,C0358,2025-01-22 18:02:43,5,Sí,Calidad técnica
K00188,U00479,C0273,2025-04-08 20:55:19,4,Sí,Contenido
K00189,U00479,C0083,2025-02-19 22:01:47,4,Sí,Contenido
K00190,U01261,C0201,2025-04-11 10:38:27,4,Sí,Contenido
K00191,U01308,C0134,2025-11-21 17:38:36,4,Sí,Experiencia general
K00192,U01308,C0166,2025-11-03 21:39:30,4,Sí,Experiencia general
K00193,U01308,C0269,2025-10-17 15:06:02,4,Sí,Historia
K00194,U00727,C0300,2025-06-17 13:02:45,5,Sí,Calidad técnica
K00195,U00383,C0038,2025-11-27 17:23:04,4,Sí,Historia
K00196,U00383,C0356,2025-08-22 09:37:29,3,No,Calidad técnica
K00197,U00383,C0132,2025-10-06 20:00:29,5,Sí,Contenido
K00198,U00383,C0420,2025-11-26 13:42:19,4,Sí,Contenido
K00199,U00383,C0410,2025-08-06 05:15:22,4,Sí,Contenido
K00200,U00540,C0300,2025-05-31 21:03:09,4,Sí,Historia
K00201,U00540,C0227,2025-02-25 21:08:52,4,Sí,Contenido
K00202,U00540,C0212,2025-06-20 22:28:14,4,Sí,Experiencia general
K00203,U00540,C0386,2025-11-14 18:38:40,4,Sí,Experiencia general
K00204,U00261,C0025,2025-07-14 11:33:40,3,No,Calidad técnica
K00205,U00261,C0265,2025-12-27 15:25:45,4,Sí,Contenido
K00206,U01179,C0411,2025-11-08 22:42:38,4,Sí,Experiencia general
K00207,U01179,C0235,2025-12-31 08:05:02,4,Sí,Experiencia general
K00208,U01179,C0152,2025-10-25 21:36:20,5,Sí,Contenido
K00209,U01179,C0246,2025-08-14 08:38:57,4,Sí,Actuación
K00210,U01179,C0140,2025-07-08 08:34:01,4,Sí,Experiencia general
K00211,U00719,C0303,2025-10-04 20:36:54,5,Sí,Experiencia general
K00212,U00719,C0223,2025-01-31 11:29:14,5,Sí,Historia
K00213,U00719,C0114,2025-08-18 17:42:06,4,Sí,Contenido
K00214,U00719,C0017,2025-02-21 20:21:48,4,Sí,Experiencia general
K00215,U01273,C0163,2025-11-13 12:20:22,3,No,Historia
K00216,U01273,C0032,2025-06-04 23:13:54,4,Sí,Contenido
K00217,U01273,C0229,2025-09-30 22:52:31,4,Sí,Experiencia general
K00218,U01081,C0103,2025-08-09 09:28:04,4,Sí,Historia
K00219,U01081,C0238,2025-02-23 21:08:42,4,Sí,Contenido
K00220,U01151,C0068,2025-12-18 18:39:05,4,Sí,Historia
K00221,U01151,C0203,2025-12-18 14:43:40,4,Sí,Historia
K00222,U01151,C0351,2025-09-25 02:58:28,4,Sí,Calidad técnica
K00223,U01222,C0149,2025-11-05 20:39:17,4,Sí,Contenido
K00224,U01222,C0387,2025-10-09 09:12:06,4,Sí,Historia
K00225,U01222,C0335,2025-10-12 22:03:25,4,Sí,Contenido
K00226,U00845,C0367,2025-07-12 15:46:47,4,Sí,Contenido
K00227,U00918,C0253,2025-02-18 09:05:45,4,Sí,Experiencia general
K00228,U00918,C0122,2025-02-21 19:47:37,3,No,Contenido
K00229,U00918,C0219,2025-06-08 16:41:40,3,No,Contenido
K00230,U00542,C0320,2025-10-05 17:35:34,5,Sí,Actuación
K00231,U00542,C0143,2025-12-06 19:15:45,5,Sí,Calidad técnica
K00232,U00542,C0254,2025-08-20 20:47:47,4,Sí,Historia
K00233,U00542,C0386,2025-08-24 23:12:01,4,Sí,Experiencia general
K00234,U00104,C0415,2025-02-11 12:32:40,4,Sí,Experiencia general
K00235,U00104,C0303,2025-01-20 23:23:06,4,Sí,Experiencia general
K00236,U00104,C0255,2025-04-10 20:51:34,4,Sí,Actuación
K00237,U01256,C0351,2025-05-12 18:48:36,4,Sí,Contenido
K00238,U01256,C0083,2025-05-25 09:34:52,4,Sí,Actuación
K00239,U01200,C0038,2025-10-14 15:28:49,4,Sí,Contenido
K00240,U01200,C0001,2025-09-25 09:23:24,4,Sí,Contenido
K00241,U01377,C0078,2025-05-08 21:54:46,4,Sí,Calidad técnica
K00242,U01377,C0313,2025-06-27 00:47:01,4,Sí,Contenido
K00243,U01377,C0360,2025-10-22 20:05:06,3,No,Experiencia general
K00244,U01240,C0076,2025-01-13 10:54:31,4,Sí,Actuación
K00245,U00369,C0004,2025-01-08 22:20:52,4,Sí,Actuación
K00246,U00369,C0092,2025-01-22 18:41:52,4,Sí,Historia
K00247,U01169,C0176,2025-11-18 22:53:33,4,Sí,Historia
K00248,U01169,C0165,2025-06-10 21:09:05,5,Sí,Calidad técnica
K00249,U01169,C0418,2025-07-09 17:53:45,4,Sí,Contenido
K00250,U01169,C0207,2025-07-07 20:24:14,4,Sí,Contenido
K00251,U01169,C0115,2025-09-29 16:37:39,4,Sí,Experiencia general
K00252,U00558,C0261,2025-05-13 20:13:22,3,No,Actuación
K00253,U00791,C0338,2025-04-17 09:42:45,4,Sí,Historia
K00254,U00791,C0096,2025-04-10 19:31:08,5,Sí,Contenido
K00255,U00791,C0420,2025-10-21 19:49:37,4,Sí,Contenido
K00256,U00791,C0206,2025-04-30 17:34:03,4,Sí,Historia
K00257,U00791,C0235,2025-09-30 07:11:47,3,No,Actuación
K00258,U01137,C0240,2025-08-25 14:13:07,4,Sí,Experiencia general
K00259,U01137,C0320,2025-09-26 19:37:15,2,No,Calidad técnica
K00260,U01137,C0094,2025-07-09 16:09:42,4,Sí,Calidad técnica
K00261,U01137,C0042,2025-05-04 09:56:49,4,Sí,Experiencia general
K00262,U01137,C0237,2025-07-26 21:55:51,4,Sí,Experiencia general
K00263,U01305,C0413,2025-12-07 11:47:33,4,Sí,Historia
K00264,U01305,C0012,2025-06-22 07:31:12,4,Sí,Historia
K00265,U00276,C0313,2025-11-01 19:11:09,4,Sí,Contenido
K00266,U00276,C0074,2025-08-31 19:53:43,4,Sí,Actuación
K00267,U00276,C0085,2025-05-28 22:27:28,3,No,Contenido
K00268,U00537,C0269,2025-01-15 07:02:26,4,Sí,Historia
K00269,U00537,C0307,2025-01-22 20:59:01,4,Sí,Actuación
K00270,U01316,C0382,2025-04-29 19:24:38,5,Sí,Contenido
K00271,U01316,C0354,2025-01-10 19:37:01,3,No,Contenido
K00272,U01316,C0242,2025-03-25 14:02:31,4,Sí,Experiencia general
K00273,U01316,C0284,2025-02-11 17:55:06,5,Sí,Historia
K00274,U01316,C0253,2025-02-05 19:11:21,5,Sí,Experiencia general
K00275,U00005,C0168,2025-07-16 21:59:49,4,Sí,Contenido
K00276,U00005,C0078,2025-12-15 11:46:27,4,Sí,Experiencia general
K00277,U00005,C0033,2025-09-07 11:08:01,5,Sí,Contenido
K00278,U00751,C0309,2025-08-30 20:48:33,4,Sí,Calidad técnica
K00279,U00751,C0058,2025-09-24 19:13:12,4,Sí,Actuación
K00280,U00751,C0201,2025-11-06 17:59:41,4,Sí,Experiencia general
K00281,U00587,C0177,2025-03-23 11:53:44,4,Sí,Historia
K00282,U00587,C0372,2025-10-03 20:57:01,4,Sí,Actuación
K00283,U00587,C0099,2025-01-25 09:15:28,4,Sí,Experiencia general
K00284,U01326,C0298,2025-12-21 21:10:18,4,Sí,Contenido
K00285,U00525,C0312,2025-06-14 19:39:19,4,Sí,Experiencia general
K00286,U00411,C0251,2025-11-24 13:37:29,4,Sí,Contenido
K00287,U00411,C0395,2025-08-02 22:45:41,4,Sí,Historia
K00288,U00730,C0048,2025-10-03 10:33:13,3,No,Calidad técnica
K00289,U00730,C0377,2025-09-30 16:44:22,4,Sí,Actuación
K00290,U00730,C0380,2025-05-24 11:06:29,4,Sí,Experiencia general
K00291,U01100,C0182,2025-03-31 14:01:15,3,No,Actuación
K00292,U01100,C0312,2025-11-15 20:44:51,4,Sí,Actuación
K00293,U01100,C0150,2025-05-23 19:40:37,4,Sí,Calidad técnica
K00294,U00410,C0185,2025-09-15 16:09:47,4,Sí,Contenido
K00295,U00026,C0192,2025-09-05 19:55:44,4,Sí,Contenido
K00296,U00026,C0202,2025-08-31 21:29:21,4,Sí,Experiencia general
K00297,U00026,C0322,2025-08-17 12:41:20,5,Sí,Historia
K00298,U01008,C0387,2025-06-22 05:50:11,4,Sí,Contenido
K00299,U01067,C0350,2025-09-14 21:54:03,4,Sí,Experiencia general
K00300,U01067,C0169,2025-04-16 18:01:08,4,Sí,Contenido
K00301,U01067,C0320,2025-01-06 19:39:23,4,Sí,Contenido
K00302,U00589,C0082,2025-10-18 16:42:51,4,Sí,Experiencia general
K00303,U00589,C0245,2025-12-30 08:31:36,4,Sí,Actuación
K00304,U00841,C0411,2025-01-16 17:45:17,4,Sí,Historia
K00305,U00841,C0317,2025-01-21 20:34:58,4,Sí,Contenido
K00306,U01186,C0405,2025-08-24 11:28:37,4,Sí,Contenido
K00307,U01186,C0155,2025-02-17 22:37:21,3,No,Contenido
K00308,U00820,C0089,2025-08-20 03:32:05,4,Sí,Historia
K00309,U00820,C0176,2025-12-14 08:38:53,4,Sí,Experiencia general
K00310,U00820,C0117,2025-08-09 13:40:33,5,Sí,Historia
K00311,U00916,C0145,2025-02-12 17:05:14,4,Sí,Contenido
K00312,U00916,C0294,2025-11-09 19:23:23,3,No,Contenido
K00313,U00146,C0060,2025-01-13 14:30:52,3,No,Contenido
K00314,U00146,C0263,2025-04-05 20:53:00,3,No,Contenido
K00315,U00796,C0285,2025-11-06 18:18:55,3,No,Contenido
K00316,U00796,C0373,2025-10-11 21:50:51,4,Sí,Contenido
K00317,U00796,C0110,2025-12-31 15:08:04,5,Sí,Calidad técnica
K00318,U00796,C0061,2025-09-04 19:57:40,4,Sí,Actuación
K00319,U00796,C0250,2025-08-28 08:58:46,4,Sí,Contenido
K00320,U01487,C0272,2025-07-21 23:43:10,4,Sí,Calidad técnica
K00321,U01487,C0167,2025-08-17 21:01:16,4,Sí,Contenido
K00322,U01487,C0065,2025-02-20 21:34:17,3,No,Contenido
K00323,U01487,C0080,2025-11-21 20:59:36,5,Sí,Historia
K00324,U01385,C0405,2025-08-29 23:49:23,5,Sí,Historia
K00325,U00170,C0236,2025-02-06 22:42:11,4,Sí,Historia
K00326,U00514,C0330,2025-07-16 10:52:02,5,Sí,Experiencia general
K00327,U00514,C0051,2025-02-13 21:41:17,4,Sí,Experiencia general
K00328,U00330,C0337,2025-05-25 19:05:17,3,No,Historia
K00329,U00330,C0061,2025-08-06 18:29:47,4,Sí,Contenido
K00330,U00208,C0294,2025-01-26 10:05:31,4,Sí,Historia
K00331,U00664,C0109,2025-08-09 18:56:28,4,Sí,Actuación
K00332,U00407,C0178,2025-10-28 19:38:40,4,Sí,Calidad técnica
K00333,U00407,C0016,2025-03-09 19:12:55,4,Sí,Experiencia general
K00334,U00407,C0345,2025-09-26 06:10:34,4,Sí,Historia
K00335,U00119,C0186,2025-01-17 06:07:30,5,Sí,Historia
K00336,U00119,C0212,2025-04-22 17:31:21,4,Sí,Experiencia general
K00337,U00119,C0295,2025-04-22 21:14:17,4,Sí,Historia
K00338,U00119,C0133,2025-12-31 23:59:59,4,Sí,Contenido
K00339,U00119,C0318,2025-11-21 23:42:21,4,Sí,Actuación
K00340,U00111,C0083,2025-09-27 03:47:59,4,Sí,Calidad técnica
K00341,U00111,C0342,2025-11-21 21:18:24,4,Sí,Contenido
K00342,U00111,C0129,2025-10-19 16:23:15,4,Sí,Experiencia general
K00343,U00111,C0196,2025-04-06 08:55:53,3,No,Experiencia general
K00344,U00111,C0408,2025-09-09 16:58:15,5,Sí,Experiencia general
K00345,U00505,C0411,2025-10-15 11:00:12,4,Sí,Actuación
K00346,U00505,C0345,2025-06-02 00:49:56,4,Sí,Historia
K00347,U00505,C0167,2025-09-22 15:58:30,4,Sí,Contenido
K00348,U00505,C0239,2025-01-28 10:08:26,5,Sí,Historia
K00349,U00513,C0419,2025-07-07 16:39:18,3,No,Experiencia general
K00350,U00412,C0023,2025-08-13 20:06:53,4,Sí,Actuación
K00351,U00412,C0062,2025-08-16 15:33:19,4,Sí,Historia
K00352,U00412,C0001,2025-06-25 23:31:47,4,Sí,Experiencia general
K00353,U00412,C0290,2025-08-16 10:56:53,4,Sí,Historia
K00354,U01363,C0238,2025-05-25 19:10:57,4,Sí,Actuación
K00355,U01363,C0268,2025-12-12 08:27:00,3,No,Contenido
K00356,U01363,C0236,2025-09-14 23:14:53,3,No,Historia
K00357,U01363,C0303,2025-11-12 16:23:08,3,No,Historia
K00358,U01355,C0344,2025-12-31 23:59:59,4,Sí,Experiencia general
K00359,U01355,C0123,2025-11-11 17:13:37,4,Sí,Historia
K00360,U01355,C0286,2025-12-12 20:35:13,4,Sí,Experiencia general
K00361,U01355,C0045,2025-11-09 16:15:26,4,Sí,Experiencia general
K00362,U01267,C0320,2025-12-13 18:21:09,4,Sí,Contenido
K00363,U01368,C0135,2025-07-17 08:24:18,3,No,Contenido
K00364,U01368,C0051,2025-12-03 22:02:52,3,No,Historia
K00365,U01368,C0039,2025-11-07 08:55:46,4,Sí,Actuación
K00366,U00114,C0224,2025-07-25 09:29:23,4,Sí,Historia
K00367,U00114,C0114,2025-09-19 19:33:00,4,Sí,Contenido
K00368,U00500,C0066,2025-04-15 17:45:45,4,Sí,Experiencia general
K00369,U00051,C0301,2025-09-20 10:16:25,4,Sí,Experiencia general
K00370,U00976,C0098,2025-06-15 14:24:44,4,Sí,Historia
K00371,U00976,C0332,2025-07-06 22:20:31,3,No,Experiencia general
K00372,U00616,C0191,2025-11-25 15:37:14,4,Sí,Experiencia general
K00373,U00616,C0373,2025-10-19 22:07:18,4,Sí,Actuación
K00374,U00093,C0396,2025-09-23 21:43:55,4,Sí,Experiencia general
K00375,U00628,C0180,2025-05-21 18:39:32,4,Sí,Actuación
K00376,U00886,C0170,2025-11-19 22:36:52,4,Sí,Calidad técnica
K00377,U00886,C0155,2025-05-27 19:48:35,4,Sí,Calidad técnica
K00378,U00886,C0041,2025-01-27 13:25:34,5,Sí,Historia
K00379,U00886,C0250,2025-10-19 19:42:29,4,Sí,Actuación
K00380,U00279,C0332,2025-11-05 18:00:56,5,Sí,Calidad técnica
K00381,U00652,C0021,2025-02-27 20:47:13,4,Sí,Experiencia general
K00382,U00652,C0063,2025-06-08 18:05:46,4,Sí,Actuación
